"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","111496","4222"
"Any Chronic Condition","Male","88767","4913"
"Any Chronic Condition","Total","200813","9141"
"Any Chronic Condition","Unknown","550","6"
"Any Disability","Female","7984","1160"
"Any Disability","Male","6012","1063"
"Any Disability","Total","14033","2227"
"Any Disability","Unknown","37","4"
"Cardiovascular Disease","Female","24855","2384"
"Cardiovascular Disease","Male","22557","2877"
"Cardiovascular Disease","Total","47498","5263"
"Cardiovascular Disease","Unknown","86","2"
"Chronic Liver Disease","Female","1257","117"
"Chronic Liver Disease","Male","1104","171"
"Chronic Liver Disease","Total","2368","288"
"Chronic Liver Disease","Unknown","7","0"
"Chronic Lung Disease","Female","29344","1181"
"Chronic Lung Disease","Male","18682","1236"
"Chronic Lung Disease","Total","48153","2418"
"Chronic Lung Disease","Unknown","127","1"
"Chronic Renal Disease","Female","5104","969"
"Chronic Renal Disease","Male","5012","1206"
"Chronic Renal Disease","Total","10138","2176"
"Chronic Renal Disease","Unknown","22","1"
"Currently Pregnant","Female","4698","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4708","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","27235","1738"
"Diabetes Mellitus","Male","23592","2176"
"Diabetes Mellitus","Total","50940","3915"
"Diabetes Mellitus","Unknown","113","1"
"Hypertension/High blood pressure","Female","14392","542"
"Hypertension/High blood pressure","Male","11379","633"
"Hypertension/High blood pressure","Total","25863","1177"
"Hypertension/High blood pressure","Unknown","92","2"
"ICU","Female","4251","1733"
"ICU","Male","5485","2359"
"ICU","Total","9753","4095"
"ICU","Unknown","17","3"
"Immunocompromised Condition","Female","10008","535"
"Immunocompromised Condition","Male","5905","629"
"Immunocompromised Condition","Total","15946","1165"
"Immunocompromised Condition","Unknown","33","1"
"Missing/Unknown status on all conditions","Female","202304","841"
"Missing/Unknown status on all conditions","Male","185167","1026"
"Missing/Unknown status on all conditions","Total","396437","1874"
"Missing/Unknown status on all conditions","Unknown","8966","7"
"None of the above conditions","Female","244729","6349"
"None of the above conditions","Male","198060","7235"
"None of the above conditions","Total","444436","13592"
"None of the above conditions","Unknown","1647","8"
"Obesity (BMI>40)","Female","4922","117"
"Obesity (BMI>40)","Male","2704","115"
"Obesity (BMI>40)","Total","7644","232"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","33011","1974"
"Other Chronic Diseases","Male","21873","2055"
"Other Chronic Diseases","Total","55038","4032"
"Other Chronic Diseases","Unknown","154","3"
"Smoker","Female","25261","599"
"Smoker","Male","31223","1191"
"Smoker","Total","56597","1790"
"Smoker","Unknown","113","0"
"Total with completed information","Female","255056","7039"
"Total with completed information","Male","207183","8007"
"Total with completed information","Total","463956","15056"
"Total with completed information","Unknown","1717","10"
