"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","45740","2212"
"Any Chronic Condition","Male","37347","2446"
"Any Chronic Condition","Total","83504","4660"
"Any Chronic Condition","Unknown","417","2"
"Cardiovascular Disease","Female","14554","1437"
"Cardiovascular Disease","Male","12378","1615"
"Cardiovascular Disease","Total","27026","3052"
"Cardiovascular Disease","Unknown","94","0"
"Chronic Liver Disease","Female","576","61"
"Chronic Liver Disease","Male","519","87"
"Chronic Liver Disease","Total","1098","148"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","13132","661"
"Chronic Lung Disease","Male","8245","643"
"Chronic Lung Disease","Total","21518","1304"
"Chronic Lung Disease","Unknown","141","0"
"Chronic Renal Disease","Female","2743","558"
"Chronic Renal Disease","Male","2527","657"
"Chronic Renal Disease","Total","5291","1215"
"Chronic Renal Disease","Unknown","21","0"
"Currently Pregnant","Female","2408","4"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2419","4"
"Currently Pregnant","Unknown","11","0"
"Diabetes Mellitus","Female","13534","937"
"Diabetes Mellitus","Male","11322","1144"
"Diabetes Mellitus","Total","24962","2083"
"Diabetes Mellitus","Unknown","106","2"
"ICU","Female","2555","947"
"ICU","Male","3249","1277"
"ICU","Total","5829","2226"
"ICU","Unknown","25","2"
"Immunocompromised Condition","Female","4338","273"
"Immunocompromised Condition","Male","2701","324"
"Immunocompromised Condition","Total","7068","597"
"Immunocompromised Condition","Unknown","29","0"
"Missing/Unknown status on all conditions","Female","72397","597"
"Missing/Unknown status on all conditions","Male","68448","700"
"Missing/Unknown status on all conditions","Total","146552","1301"
"Missing/Unknown status on all conditions","Unknown","5707","4"
"Neurologic/Neurodevelopmental","Female","3412","650"
"Neurologic/Neurodevelopmental","Male","2342","571"
"Neurologic/Neurodevelopmental","Total","5783","1221"
"Neurologic/Neurodevelopmental","Unknown","29","0"
"None of the above conditions","Female","107713","2748"
"None of the above conditions","Male","86651","2898"
"None of the above conditions","Total","195716","5646"
"None of the above conditions","Unknown","1352","0"
"Other Chronic Diseases","Female","7247","697"
"Other Chronic Diseases","Male","4655","695"
"Other Chronic Diseases","Total","11950","1392"
"Other Chronic Diseases","Unknown","48","0"
"Smoker","Female","11612","291"
"Smoker","Male","14902","575"
"Smoker","Total","26634","866"
"Smoker","Unknown","120","0"
"Total with completed information","Female","112778","3157"
"Total with completed information","Male","91138","3367"
"Total with completed information","Total","205329","6526"
"Total with completed information","Unknown","1413","2"
