"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","122807","4732"
"Any Chronic Condition","Male","97757","5447"
"Any Chronic Condition","Total","221024","10181"
"Any Chronic Condition","Unknown","460","2"
"Any Disability","Female","9045","1313"
"Any Disability","Male","6912","1176"
"Any Disability","Total","15985","2490"
"Any Disability","Unknown","28","1"
"Cardiovascular Disease","Female","25976","2607"
"Cardiovascular Disease","Male","23681","3125"
"Cardiovascular Disease","Total","49729","5733"
"Cardiovascular Disease","Unknown","72","1"
"Chronic Liver Disease","Female","1396","133"
"Chronic Liver Disease","Male","1207","194"
"Chronic Liver Disease","Total","2609","327"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","32238","1328"
"Chronic Lung Disease","Male","20480","1375"
"Chronic Lung Disease","Total","52817","2703"
"Chronic Lung Disease","Unknown","99","0"
"Chronic Renal Disease","Female","5513","1090"
"Chronic Renal Disease","Male","5435","1351"
"Chronic Renal Disease","Total","10966","2441"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","5279","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5285","6"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","29493","1947"
"Diabetes Mellitus","Male","25488","2427"
"Diabetes Mellitus","Total","55072","4375"
"Diabetes Mellitus","Unknown","91","1"
"Hypertension/High blood pressure","Female","19368","884"
"Hypertension/High blood pressure","Male","15297","957"
"Hypertension/High blood pressure","Total","34758","1841"
"Hypertension/High blood pressure","Unknown","93","0"
"ICU","Female","4778","1956"
"ICU","Male","6110","2629"
"ICU","Total","10901","4586"
"ICU","Unknown","13","1"
"Immunocompromised Condition","Female","10998","618"
"Immunocompromised Condition","Male","6414","711"
"Immunocompromised Condition","Total","17440","1329"
"Immunocompromised Condition","Unknown","28","0"
"Missing/Unknown status on all conditions","Female","199320","841"
"Missing/Unknown status on all conditions","Male","183689","1005"
"Missing/Unknown status on all conditions","Total","390240","1848"
"Missing/Unknown status on all conditions","Unknown","7231","2"
"None of the above conditions","Female","270564","7094"
"None of the above conditions","Male","219957","8001"
"None of the above conditions","Total","491936","15097"
"None of the above conditions","Unknown","1415","2"
"Obesity (BMI>40)","Female","6773","195"
"Obesity (BMI>40)","Male","3670","174"
"Obesity (BMI>40)","Total","10457","369"
"Obesity (BMI>40)","Unknown","14","0"
"Other Chronic Diseases","Female","34728","2132"
"Other Chronic Diseases","Male","22894","2181"
"Other Chronic Diseases","Total","57742","4313"
"Other Chronic Diseases","Unknown","120","0"
"Smoker","Female","28056","722"
"Smoker","Male","34598","1380"
"Smoker","Total","62757","2102"
"Smoker","Unknown","103","0"
"Total with completed information","Female","280600","7782"
"Total with completed information","Male","228768","8770"
"Total with completed information","Total","510828","16555"
"Total with completed information","Unknown","1460","3"
