COVID-19 Vaccinations in the United States
Date generated: Fri Jan 29 2021 14:16:47 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,178075,105858,24342,14470,85672,11711,20045,2740
Alabama,655275,278993,13364,5690,241337,4922,37431,763
Arkansas,453300,252824,15021,8378,209445,6940,40910,1356
American Samoa,18450,9085,33130,16314,8133,14604,950,1706
Arizona,1011375,487149,13895,6693,412841,5672,73927,1016
Bureau of Prisons,30050,28514,N/A,N/A,21081,0,7368,0
California,5547100,2746876,14039,6952,2281453,5774,458585,1161
Colorado,806950,495706,14013,8608,394156,6844,98663,1713
Connecticut,571775,381160,16037,10691,315317,8844,59437,1667
District of Columbia,144425,70839,20464,10037,55599,7878,15177,2150
Dept of Defense,794200,389927,N/A,N/A,335627,0,46561,0
Delaware,141825,82289,14565,8451,68959,7082,13121,1347
Florida,3095850,1707251,14414,7949,1497903,6974,204623,953
Federated States of Micronesia,19400,3502,18718,3379,3471,3349,4,4
Georgia,1441025,764211,13572,7198,659212,6209,89305,841
Guam,34300,19520,20692,11775,15405,9293,3969,2394
Hawaii,226700,103944,16011,7341,84139,5943,19804,1399
Iowa,391575,212497,12411,6735,169341,5367,40477,1283
Idaho,210750,102800,11793,5752,85373,4777,16724,936
Indian Health Svc,406525,180226,N/A,N/A,144908,0,33645,0
Illinois,1631775,823325,12877,6497,643555,5079,162086,1279
Indiana,925300,552144,13744,8202,454380,6749,97614,1450
Kansas,405550,190301,13921,6532,157536,5407,31429,1079
Kentucky,611050,342200,13677,7659,297108,6650,43142,966
Louisiana,620425,375895,13346,8086,323609,6961,51583,1110
Massachusetts,1018975,490332,14784,7114,406024,5891,83637,1213
Maryland,851250,412206,14080,6818,355484,5880,56274,931
Maine,208225,115191,15490,8569,88878,6612,24925,1854
Marshall Islands,13600,3755,23282,6428,3594,6153,129,221
Michigan,1359700,814416,13615,8155,659118,6600,143757,1439
Minnesota,801775,403640,14217,7157,315664,5597,87269,1547
Missouri,822850,382552,13407,6233,294872,4804,85827,1398
Northern Mariana Islands,18650,9251,32787,16263,6189,10880,3058,5376
Mississippi,418050,201247,14047,6762,181550,6100,19475,654
Montana,138725,86213,12980,8067,68032,6365,18149,1698
North Carolina,1399775,849801,13346,8103,728551,6946,120480,1149
North Dakota,105900,80051,13897,10505,60164,7895,18244,2394
Nebraska,287400,150019,14857,7755,116769,6036,32380,1674
New Hampshire,200625,110451,14755,8123,88624,6518,21781,1602
New Jersey,1230550,648215,13854,7298,558156,6284,88198,993
New Mexico,314750,224692,15011,10716,180272,8597,41669,1987
Nevada,339500,194942,11022,6329,167481,5437,26327,855
New York State,2812625,1630504,14458,8382,1320572,6788,238722,1227
Ohio,1532450,789869,13110,6757,683323,5846,106035,907
Oklahoma,592975,363253,14986,9180,308458,7795,52465,1326
Oregon,606725,340383,14385,8070,285528,6770,53662,1272
Pennsylvania,1915350,856371,14961,6689,695656,5434,159259,1244
Puerto Rico,525000,212179,16439,6644,165862,5193,45057,1411
Rhode Island,153625,80138,14502,7565,61554,5810,18562,1752
Republic of Palau,6000,3067,33506,17127,3067,17127,0,0
South Carolina,548750,359949,10658,6991,302890,5883,55183,1072
South Dakota,123800,91776,13994,10374,67171,7593,24543,2774
Tennessee,939650,510050,13759,7469,385682,5648,123116,1803
Texas,3513450,2107005,12117,7267,1731725,5972,373624,1289
Utah,399425,239807,12459,7480,201134,6274,30065,938
Virginia,1171750,668401,13728,7831,552909,6478,89645,1050
Veterans Health,1367700,792348,N/A,N/A,655236,0,136319,0
Virgin Islands,17075,4620,16312,4413,3901,3727,719,687
Vermont,98775,58871,15830,9435,46376,7432,12418,1990
Washington,1003550,571135,13179,7500,468528,6153,91733,1205
Wisconsin,793050,361917,13621,6216,302339,5193,57508,988
West Virginia,278400,224604,15534,12533,173750,9695,50843,2837
Wyoming,82825,43425,14311,7503,37963,6559,5419,936
