COVID-19 Vaccinations in the United States
Date generated: Mon Feb 01 2021 11:17:09 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,193150,119590,26403,16348,94889,12971,24545,3355
Alabama,659400,353974,13448,7219,298301,6084,55331,1128
Arkansas,453700,303793,15034,10067,244867,8114,56264,1864
American Samoa,18450,9925,33130,17822,8926,16028,997,1790
Arizona,1013375,594104,13922,8162,500942,6882,92666,1273
Bureau of Prisons,30050,31285,N/A,N/A,22725,0,8490,0
California,5666550,3285351,14341,8315,2717530,6878,558977,1415
Colorado,813400,569234,14125,9885,440576,7651,125078,2172
Connecticut,578600,436842,16229,12253,349879,9813,79511,2230
District of Columbia,148525,80526,21045,11410,61737,8748,18710,2651
Dept of Defense,816175,481172,N/A,N/A,404643,0,67235,0
Delaware,143775,99954,14765,10265,82970,8521,16397,1684
Florida,3396350,1959626,15813,9124,1656005,7710,297584,1386
Federated States of Micronesia,19400,3965,18718,3826,3933,3795,5,5
Georgia,1449800,906186,13655,8535,766875,7223,119878,1129
Guam,34300,22454,20692,13545,17784,10728,4499,2714
Hawaii,227400,129267,16061,9130,103398,7303,25868,1827
Iowa,417900,252202,13245,7994,190689,6044,58367,1850
Idaho,221550,120880,12397,6764,98287,5500,21636,1211
Indian Health Svc,423600,209747,N/A,N/A,165493,0,40602,0
Illinois,1696575,1011454,13389,7982,781536,6168,211528,1669
Indiana,931500,607185,13836,9019,495746,7364,111233,1652
Kansas,413350,221469,14188,7602,180156,6184,39753,1365
Kentucky,650150,404705,14552,9059,337738,7560,64890,1452
Louisiana,648925,443715,13959,9545,369486,7948,73436,1580
Massachusetts,1060900,579181,15392,8403,461408,6694,116315,1688
Maryland,884650,505454,14633,8361,422218,6984,82743,1369
Maine,212125,140353,15781,10441,105665,7861,33121,2464
Marshall Islands,13600,4127,23282,7065,3763,6442,327,560
Michigan,1362600,977030,13644,9783,772944,7740,190777,1910
Minnesota,837550,518744,14851,9198,402715,7141,114255,2026
Missouri,835400,444384,13612,7241,340708,5551,100237,1633
Northern Mariana Islands,18650,10050,32787,17668,6896,12123,3150,5538
Mississippi,425000,236401,14280,7943,211689,7113,24455,822
Montana,141650,104525,13253,9780,79584,7446,24885,2328
North Carolina,1423475,951657,13572,9074,800782,7635,149906,1429
North Dakota,108050,97915,14179,12849,70822,9293,25359,3328
Nebraska,288375,177711,14908,9187,133002,6876,43712,2260
New Hampshire,217100,128313,15967,9437,98524,7246,29736,2187
New Jersey,1232525,795440,13876,8955,670153,7545,123147,1386
New Mexico,317900,264147,15161,12597,204968,9775,56314,2686
Nevada,368800,241078,11973,7827,205892,6684,33923,1101
New York State,2932775,1875462,15076,9641,1473614,7575,329795,1695
Ohio,1553900,954013,13294,8162,789605,6755,163622,1400
Oklahoma,594925,437985,15035,11069,356891,9019,78459,1983
Oregon,665325,407890,15774,9671,331692,7864,74927,1776
Pennsylvania,1976925,1088172,15442,8500,862021,6733,223489,1746
Puerto Rico,530950,249394,16625,7809,193842,6070,54276,1699
Rhode Island,173225,91177,16352,8607,67744,6395,23408,2210
Republic of Palau,6000,3110,33506,17368,3109,17362,1,6
South Carolina,560150,439541,10879,8537,361557,7022,74459,1446
South Dakota,130700,105961,14774,11978,76523,8650,29362,3319
Tennessee,998875,609213,14627,8921,438426,6420,169166,2477
Texas,3659550,2408879,12621,8308,1928227,6650,478812,1651
Utah,401375,286501,12520,8937,227616,7100,45874,1431
Virginia,1232350,833221,14438,9762,687883,8059,118612,1390
Veterans Health,1367700,932278,N/A,N/A,754720,0,176655,0
Virgin Islands,17075,6008,16312,5739,4920,4700,1088,1039
Vermont,99750,67180,15986,10766,50571,8104,16491,2643
Washington,1031400,684344,13545,8987,555505,7295,117398,1542
Wisconsin,795050,491058,13655,8434,409614,7035,78902,1355
West Virginia,305200,259774,17030,14495,192580,10746,67183,3749
Wyoming,85750,57023,14816,9853,47639,8231,9321,1611
