COVID-19 Vaccinations in the United States
Date generated: Tue Feb 02 2021 09:28:32 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,193150,122020,26403,16680,96396,13177,25467,3481
Alabama,659400,358280,13448,7307,301628,6152,56308,1148
Arkansas,453700,311230,15034,10313,249943,8282,58613,1942
American Samoa,18450,10761,33130,19323,9713,17442,1046,1878
Arizona,1013375,620608,13922,8526,524413,7205,95671,1314
Bureau of Prisons,30050,31285,N/A,N/A,22725,0,8490,0
California,5666550,3453284,14341,8740,2861767,7243,581985,1473
Colorado,813400,589787,14125,10242,455422,7908,130738,2270
Connecticut,578600,449253,16229,12601,357588,10030,83855,2352
District of Columbia,148525,82519,21045,11692,63208,8956,19217,2723
Dept of Defense,816175,485125,N/A,N/A,407915,0,67913,0
Delaware,143775,102697,14765,10546,84482,8676,17628,1810
Florida,3396350,2005378,15813,9337,1683674,7839,315392,1468
Federated States of Micronesia,19400,5110,18718,4930,5068,4890,15,14
Georgia,1449800,930517,13655,8764,785487,7398,125548,1182
Guam,34300,23445,20692,14143,18538,11183,4736,2857
Hawaii,227400,135836,16061,9594,108745,7680,27090,1913
Iowa,417900,257468,13245,8160,194009,6149,60259,1910
Idaho,221550,124377,12397,6960,100946,5649,22468,1257
Indian Health Svc,423600,210664,N/A,N/A,166090,0,40917,0
Illinois,1696575,1054814,13389,8324,817253,6449,219095,1729
Indiana,931500,607185,13836,9019,495746,7364,111233,1652
Kansas,413350,226895,14188,7788,183035,6283,42297,1452
Kentucky,650150,415545,14552,9301,347384,7776,66077,1479
Louisiana,648925,463179,13959,9963,376491,8099,85872,1847
Massachusetts,1060900,608947,15392,8835,484829,7034,122652,1779
Maryland,884650,528301,14633,8738,440763,7291,87039,1440
Maine,212125,145786,15781,10845,109917,8177,34299,2552
Marshall Islands,13600,4127,23282,7065,3763,6442,327,560
Michigan,1362600,1005544,13644,10069,794391,7954,197770,1980
Minnesota,837550,546330,14851,9687,425546,7546,118959,2109
Missouri,835400,462202,13612,7531,355387,5790,103241,1682
Northern Mariana Islands,21850,10148,38413,17840,6897,12125,3247,5708
Mississippi,425000,238859,14280,8026,213525,7175,25077,843
Montana,141650,106145,13253,9931,80627,7544,25438,2380
North Carolina,1423475,975743,13572,9303,818858,7808,155824,1486
North Dakota,108050,99481,14179,13054,71587,9394,26136,3430
Nebraska,288375,180917,14908,9353,134193,6937,45716,2363
New Hampshire,217100,130515,15967,9599,100041,7358,30421,2237
New Jersey,1232525,810293,13876,9123,680591,7662,127552,1436
New Mexico,317900,275224,15161,13126,212216,10121,60099,2866
Nevada,368800,248754,11973,8076,211931,6881,35559,1154
New York State,2932775,1927665,15076,9909,1511266,7769,344325,1770
Ohio,1553900,1004624,13294,8595,824597,7054,179168,1533
Oklahoma,594925,443581,15035,11210,360670,9115,80231,2028
Oregon,665325,423627,15774,10044,342827,8128,79522,1885
Pennsylvania,1976925,1134185,15442,8859,900237,7032,231261,1806
Puerto Rico,530950,253439,16625,7936,197187,6174,54972,1721
Rhode Island,173225,94240,16352,8896,68779,6492,25435,2401
Republic of Palau,6000,3110,33506,17368,3109,17362,1,6
South Carolina,560150,462751,10879,8988,379136,7364,80038,1555
South Dakota,130700,107685,14774,12172,77052,8710,30557,3454
Tennessee,998875,627911,14627,9195,447977,6560,178248,2610
Texas,3659550,2496232,12621,8609,1991555,6868,502794,1734
Utah,401375,323030,12520,10076,244613,7630,62607,1953
Virginia,1232350,870820,14438,10202,718113,8413,125933,1475
Veterans Health,1367700,963346,N/A,N/A,781179,0,181258,0
Virgin Islands,17075,6116,16312,5843,5026,4801,1090,1041
Vermont,99750,72428,15986,11607,53967,8649,18338,2939
Washington,1031400,720603,13545,9463,582420,7648,126672,1663
Wisconsin,795050,513385,13655,8817,429609,7379,81097,1393
West Virginia,305200,260325,17030,14526,192951,10766,67363,3759
Wyoming,85750,58721,14816,10146,48155,8320,9651,1668
