COVID-19 Vaccinations in the United States
Date generated: Wed Jan 20 2021 22:19:25 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,150350,68293,20552,9335,56911,7780,11283,1542
Alabama,483275,139200,9856,2839,121113,2470,17956,366
Arkansas,334825,173312,11095,5743,144792,4798,26541,879
American Samoa,18450,5313,33130,9540,4476,8037,836,1501
Arizona,752250,281887,10335,3873,246960,3393,34788,478
Bureau of Prisons,24750,19076,N/A,N/A,15949,0,3092,0
California,4169450,1532329,10552,3878,1255311,3177,273276,692
Colorado,631400,340438,10964,5912,287174,4987,51460,894
Connecticut,430375,243140,12071,6820,213145,5978,25018,702
District of Columbia,75175,51733,10652,7330,41135,5829,10553,1495
Dept of Defense,499400,256867,N/A,N/A,229553,0,22157,0
Delaware,100375,45640,10308,4687,38610,3965,6919,711
Florida,2545050,1239975,11850,5773,1125338,5240,111763,520
Federated States of Micronesia,9800,1756,9456,1694,1753,1691,3,3
Georgia,1077375,397048,10147,3740,356010,3353,35029,330
Guam,34300,3791,20692,2287,3785,2283,0,0
Hawaii,154150,71944,10887,5081,58111,4104,13833,977
Iowa,291075,149850,9226,4749,133528,4232,13995,444
Idaho,166850,69267,9337,3876,58328,3264,10738,601
Indian Health Svc,315325,108975,N/A,N/A,93635,0,14874,0
Illinois,1094000,539926,8633,4261,425824,3360,107651,850
Indiana,741025,356385,11007,5294,297720,4422,58616,871
Kansas,265600,122705,9117,4212,105679,3627,16013,550
Kentucky,444325,223946,9945,5013,208664,4671,13829,310
Louisiana,485625,264400,10446,5687,228831,4922,35049,754
Massachusetts,737550,330490,10701,4795,288209,4181,42062,610
Maryland,628800,258146,10401,4270,233443,3861,24355,403
Maine,155800,76167,11590,5666,64260,4780,10661,793
Marshall Islands,13600,1514,23282,2592,1482,2537,2,3
Michigan,1031100,508607,10325,5093,434402,4350,70535,706
Minnesota,595775,252548,10564,4478,209862,3721,42384,752
Missouri,572125,244476,9322,3983,193867,3159,49330,804
Northern Mariana Islands,18650,6791,32787,11939,4569,8032,2219,3901
Mississippi,307950,122586,10347,4119,112525,3781,9979,335
Montana,111625,57220,10444,5354,48086,4499,9121,853
North Carolina,1118250,427480,10662,4076,368818,3517,58407,557
North Dakota,78150,57657,10255,7566,48350,6345,8954,1175
Nebraska,237500,106283,12278,5494,91040,4706,14463,748
New Hampshire,145400,75418,10693,5547,67366,4954,8013,589
New Jersey,898550,432220,10116,4866,381159,4291,49420,556
New Mexico,225850,143302,10771,6834,116128,5538,24706,1178
Nevada,276775,107133,8986,3478,89110,2893,17209,559
New York State,2057875,1046490,10578,5379,926339,4762,106821,549
Ohio,1119175,487481,9575,4170,456424,3905,30910,264
Oklahoma,455275,251684,11506,6361,217690,5501,32308,816
Oregon,431450,216928,10229,5143,192550,4565,23866,566
Pennsylvania,1223250,568660,9555,4442,482791,3771,85290,666
Puerto Rico,312450,136630,9783,4278,112524,3523,23428,734
Rhode Island,122575,56617,11571,5344,45904,4333,10696,1010
Republic of Palau,6000,1981,33506,11063,1980,11057,1,6
South Carolina,437675,192608,8501,3741,160518,3118,30679,596
South Dakota,95825,62518,10832,7067,52548,5940,9922,1122
Tennessee,672825,358534,9852,5250,305780,4478,52051,762
Texas,2551125,1471746,8798,5076,1282998,4425,187503,647
Utah,319700,181792,9972,5670,159814,4985,16272,508
Virginia,962900,343366,11281,4023,304160,3563,37679,441
Veterans Health,1048050,432569,N/A,N/A,387870,0,44329,0
Virgin Islands,12325,2418,11774,2310,2178,2081,240,229
Vermont,75950,40814,12172,6541,34607,5546,6167,988
Washington,805000,346765,10571,4554,286500,3762,49731,653
Wisconsin,538325,222492,9246,3821,193461,3323,27312,469
West Virginia,231800,158621,12934,8851,132929,7417,25681,1433
Wyoming,62575,29309,10812,5064,25841,4465,3441,595
