COVID-19 Vaccinations in the United States
Date generated: Mon Jan 25 2021 10:52:41 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,155700,94257,21284,12885,77925,10652,16201,2215
Alabama,521225,243737,10630,4971,213833,4361,29736,606
Arkansas,368650,214240,12216,7099,179290,5941,32572,1079
American Samoa,18450,8046,33130,14448,7096,12742,948,1702
Arizona,829500,390623,11396,5367,332095,4563,58291,801
Bureau of Prisons,24750,24082,N/A,N/A,18965,0,5044,0
California,4906525,2199908,12418,5568,1838464,4653,356382,902
Colorado,692700,434496,12029,7545,355124,6167,76902,1335
Connecticut,492850,321737,13824,9024,275126,7717,40506,1136
District of Columbia,91025,62391,12898,8840,49292,6984,13043,1848
Dept of Defense,677025,336450,N/A,N/A,296176,0,34204,0
Delaware,116325,64186,11946,6592,52586,5400,11464,1177
Florida,2908275,1544794,13541,7193,1384479,6446,156226,727
Federated States of Micronesia,13600,2752,13122,2655,2749,2652,3,3
Georgia,1235775,604067,11639,5689,534161,5031,59965,565
Guam,34300,3791,20692,2287,3785,2283,0,0
Hawaii,191575,84792,13531,5989,67990,4802,16802,1187
Iowa,361475,191183,11457,6060,157635,4996,30949,981
Idaho,181100,87128,10134,4875,72424,4053,14059,787
Indian Health Svc,357850,153784,N/A,N/A,128843,0,23643,0
Illinois,1417250,699072,11184,5517,556517,4392,135330,1068
Indiana,841725,446029,12503,6625,367944,5465,77985,1158
Kansas,348175,151249,11951,5192,127417,4374,22610,776
Kentucky,471000,299493,10542,6704,268308,6006,29346,657
Louisiana,543700,334086,11696,7187,290955,6259,42520,915
Massachusetts,859175,419806,12465,6091,356102,5167,63096,915
Maryland,742175,338544,12276,5600,300609,4972,37507,620
Maine,178450,99815,13275,7426,79310,5900,19151,1425
Marshall Islands,13600,3098,23282,5304,3065,5247,3,5
Michigan,1095675,695273,10971,6962,573167,5739,111243,1114
Minnesota,680700,321180,12070,5695,252927,4485,67716,1201
Missouri,661400,317737,10777,5177,242937,3958,73248,1193
Northern Mariana Islands,18650,8390,32787,14750,5369,9439,3017,5304
Mississippi,358100,177636,12032,5969,161507,5427,15918,535
Montana,119500,76590,11181,7166,62498,5848,14071,1317
North Carolina,1246600,636439,11886,6068,552194,5265,83752,799
North Dakota,86750,73175,11384,9602,56158,7369,15589,2046
Nebraska,238100,132846,12309,6868,109860,5679,22175,1146
New Hampshire,162950,93338,11984,6865,79942,5879,13355,982
New Jersey,989900,535625,11145,6030,468760,5278,65164,734
New Mexico,257075,200141,12260,9545,162636,7756,34878,1663
Nevada,286950,152203,9316,4941,129223,4195,22068,716
New York State,2395950,1365404,12316,7019,1172921,6029,176659,908
Ohio,1233075,647104,10549,5536,575488,4923,71344,610
Oklahoma,496350,322810,12544,8158,279283,7058,41289,1043
Oregon,492450,285922,11676,6779,244669,5801,40348,957
Pennsylvania,1564125,744591,12218,5816,611359,4776,131908,1030
Puerto Rico,371550,184173,11634,5767,143910,4506,39016,1222
Rhode Island,149225,67566,14086,6378,54287,5125,13260,1252
Republic of Palau,6000,3046,33506,17010,3044,16999,2,11
South Carolina,453250,278795,8803,5415,233257,4530,43810,851
South Dakota,106575,80441,12047,9093,63091,7132,17293,1955
Tennessee,838825,452042,12283,6619,354407,5190,96619,1415
Texas,3070825,1763299,10591,6081,1502751,5183,259056,893
Utah,341725,202729,10659,6324,175364,5470,20697,646
Virginia,1069725,451668,12533,5292,393127,4606,51170,599
Veterans Health,1151525,664245,N/A,N/A,564247,0,99328,0
Virgin Islands,13525,3378,12920,3227,2969,2836,409,391
Vermont,90000,51872,14423,8313,41950,6723,9853,1579
Washington,846625,449385,11118,5901,370231,4862,68486,899
Wisconsin,610100,308290,10478,5295,260664,4477,45641,784
West Virginia,243100,202883,13565,11321,163801,9140,39071,2180
Wyoming,70750,40803,12224,7050,35868,6197,4895,846
