COVID-19 Vaccinations in the United States
Date generated: Wed Jan 20 2021 09:13:28 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,150450,66331,20566,9067,55434,7578,10802,1477
Alabama,444650,130795,9069,2668,114319,2332,16346,333
Arkansas,297800,142337,9868,4717,118763,3935,21734,720
American Samoa,18450,4756,33130,8540,3985,7156,770,1383
Arizona,571725,266276,7855,3658,235331,3233,30892,424
Bureau of Prisons,16750,17628,N/A,N/A,15500,0,2091,0
California,3548575,1460430,8981,3696,1195969,3027,260838,660
Colorado,531775,330292,9234,5735,278639,4839,49897,866
Connecticut,328775,229524,9222,6438,201664,5656,23150,649
District of Columbia,68325,49988,9681,7083,39747,5632,10196,1445
Dept of Defense,507975,254778,N/A,N/A,227934,0,21753,0
Delaware,91250,42557,9371,4370,35679,3664,6768,695
Florida,2069175,1174685,9634,5469,1068787,4976,103173,480
Federated States of Micronesia,9800,1436,9456,1386,1434,1384,2,2
Georgia,1011200,312336,9524,2942,278151,2620,28907,272
Guam,34300,3791,20692,2287,3785,2283,0,0
Hawaii,154150,63954,10887,4517,52635,3717,11319,799
Iowa,269000,144955,8526,4594,130042,4122,12629,400
Idaho,160075,63975,8957,3580,53609,3000,10165,569
Indian Health Svc,292700,104140,N/A,N/A,90329,0,13348,0
Illinois,1011225,525261,7980,4145,414362,3270,104533,825
Indiana,642425,334686,9543,4971,283779,4215,50862,756
Kansas,263175,118434,9034,4065,101824,3495,15602,536
Kentucky,337450,216039,7553,4836,201688,4514,12911,289
Louisiana,370175,255591,7963,5498,221109,4756,33967,731
Massachusetts,669325,318877,9711,4626,277612,4028,41053,596
Maryland,565125,247597,9348,4095,225456,3729,21794,360
Maine,136875,73978,10183,5503,62716,4666,10018,745
Marshall Islands,13600,1282,23282,2195,1250,2140,2,3
Michigan,773750,483592,7748,4842,417228,4178,62780,629
Minnesota,519600,251535,9213,4460,209118,3708,42116,747
Missouri,528800,236254,8616,3849,189793,3092,45368,739
Northern Mariana Islands,18650,6372,32787,11202,4453,7828,1916,3368
Mississippi,233550,113572,7847,3816,103946,3493,9545,321
Montana,98500,55893,9216,5230,47209,4417,8671,811
North Carolina,999650,400779,9531,3821,346533,3304,54012,515
North Dakota,68675,56608,9012,7428,47616,6248,8641,1134
Nebraska,211500,103689,10934,5360,89054,4604,13860,716
New Hampshire,127225,71556,9357,5263,64402,4736,7120,524
New Jersey,658800,400148,7417,4505,354653,3993,43879,494
New Mexico,204750,138150,9765,6589,112450,5363,23236,1108
Nevada,211750,102840,6875,3339,85391,2772,16665,541
New York State,1884325,1000319,9686,5142,884908,4549,102187,525
Ohio,968250,472084,8283,4039,444812,3805,27139,232
Oklahoma,424000,242093,10715,6118,209687,5299,30919,781
Oregon,335075,216928,7944,5143,192550,4565,23866,566
Pennsylvania,1075350,544416,8400,4253,464339,3627,79526,621
Puerto Rico,311325,129530,9748,4056,107661,3371,21368,669
Rhode Island,108425,54081,10235,5105,44164,4169,9902,935
Republic of Palau,6000,1914,33506,10689,1913,10683,1,6
South Carolina,350550,187175,6808,3635,155548,3021,30243,587
South Dakota,93675,61113,10589,6908,51288,5797,9777,1105
Tennessee,657550,351813,9629,5152,302260,4426,48867,716
Texas,2105600,1403989,7262,4842,1222952,4218,179801,620
Utah,268175,163205,8365,5091,144056,4493,15367,479
Virginia,852725,326894,9990,3830,290146,3399,35239,413
Veterans Health,994425,416209,N/A,N/A,372382,0,43469,0
Virgin Islands,11825,2135,11296,2040,1970,1882,165,158
Vermont,74000,40581,11859,6503,34427,5517,6114,980
Washington,696175,321200,9142,4218,265507,3487,45237,594
Wisconsin,437900,213498,7521,3667,188144,3231,23641,406
West Virginia,205475,152657,11465,8518,128923,7194,23723,1324
Wyoming,58775,28057,10155,4848,24788,4283,3242,560
