"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","112850","4289"
"Any Chronic Condition","Male","89806","4970"
"Any Chronic Condition","Total","203211","9265"
"Any Chronic Condition","Unknown","555","6"
"Any Disability","Female","8092","1178"
"Any Disability","Male","6113","1081"
"Any Disability","Total","14241","2263"
"Any Disability","Unknown","36","4"
"Cardiovascular Disease","Female","24983","2411"
"Cardiovascular Disease","Male","22690","2908"
"Cardiovascular Disease","Total","47759","5321"
"Cardiovascular Disease","Unknown","86","2"
"Chronic Liver Disease","Female","1271","120"
"Chronic Liver Disease","Male","1114","173"
"Chronic Liver Disease","Total","2393","293"
"Chronic Liver Disease","Unknown","8","0"
"Chronic Lung Disease","Female","29670","1201"
"Chronic Lung Disease","Male","18882","1253"
"Chronic Lung Disease","Total","48677","2454"
"Chronic Lung Disease","Unknown","125","0"
"Chronic Renal Disease","Female","5147","982"
"Chronic Renal Disease","Male","5063","1223"
"Chronic Renal Disease","Total","10233","2206"
"Chronic Renal Disease","Unknown","23","1"
"Currently Pregnant","Female","4763","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4773","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","27496","1759"
"Diabetes Mellitus","Male","23802","2200"
"Diabetes Mellitus","Total","51416","3961"
"Diabetes Mellitus","Unknown","118","2"
"Hypertension/High blood pressure","Female","15000","581"
"Hypertension/High blood pressure","Male","11824","663"
"Hypertension/High blood pressure","Total","26919","1246"
"Hypertension/High blood pressure","Unknown","95","2"
"ICU","Female","4311","1753"
"ICU","Male","5538","2385"
"ICU","Total","9866","4141"
"ICU","Unknown","17","3"
"Immunocompromised Condition","Female","10128","544"
"Immunocompromised Condition","Male","5968","638"
"Immunocompromised Condition","Total","16128","1183"
"Immunocompromised Condition","Unknown","32","1"
"Missing/Unknown status on all conditions","Female","202819","846"
"Missing/Unknown status on all conditions","Male","185739","1032"
"Missing/Unknown status on all conditions","Total","397631","1885"
"Missing/Unknown status on all conditions","Unknown","9073","7"
"None of the above conditions","Female","247670","6469"
"None of the above conditions","Male","200518","7347"
"None of the above conditions","Total","449857","13826"
"None of the above conditions","Unknown","1669","10"
"Obesity (BMI>40)","Female","5165","124"
"Obesity (BMI>40)","Male","2833","120"
"Obesity (BMI>40)","Total","8016","244"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","33191","1994"
"Other Chronic Diseases","Male","21965","2065"
"Other Chronic Diseases","Total","55309","4061"
"Other Chronic Diseases","Unknown","153","2"
"Smoker","Female","25582","613"
"Smoker","Male","31629","1208"
"Smoker","Total","57326","1821"
"Smoker","Unknown","115","0"
"Total with completed information","Female","257978","7162"
"Total with completed information","Male","209630","8121"
"Total with completed information","Total","469347","15295"
"Total with completed information","Unknown","1739","12"
