"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","123505","4759"
"Any Chronic Condition","Male","98340","5468"
"Any Chronic Condition","Total","222306","10229"
"Any Chronic Condition","Unknown","461","2"
"Any Disability","Female","9123","1319"
"Any Disability","Male","6975","1182"
"Any Disability","Total","16127","2502"
"Any Disability","Unknown","29","1"
"Cardiovascular Disease","Female","26062","2617"
"Cardiovascular Disease","Male","23754","3137"
"Cardiovascular Disease","Total","49887","5755"
"Cardiovascular Disease","Unknown","71","1"
"Chronic Liver Disease","Female","1400","133"
"Chronic Liver Disease","Male","1214","194"
"Chronic Liver Disease","Total","2620","327"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","32381","1335"
"Chronic Lung Disease","Male","20614","1381"
"Chronic Lung Disease","Total","53095","2716"
"Chronic Lung Disease","Unknown","100","0"
"Chronic Renal Disease","Female","5540","1096"
"Chronic Renal Disease","Male","5469","1359"
"Chronic Renal Disease","Total","11027","2455"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","5316","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5322","6"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","29635","1961"
"Diabetes Mellitus","Male","25621","2438"
"Diabetes Mellitus","Total","55347","4400"
"Diabetes Mellitus","Unknown","91","1"
"Hypertension/High blood pressure","Female","19709","902"
"Hypertension/High blood pressure","Male","15577","975"
"Hypertension/High blood pressure","Total","35377","1877"
"Hypertension/High blood pressure","Unknown","91","0"
"ICU","Female","4809","1965"
"ICU","Male","6159","2648"
"ICU","Total","10981","4614"
"ICU","Unknown","13","1"
"Immunocompromised Condition","Female","11057","623"
"Immunocompromised Condition","Male","6454","720"
"Immunocompromised Condition","Total","17539","1343"
"Immunocompromised Condition","Unknown","28","0"
"Missing/Unknown status on all conditions","Female","198499","839"
"Missing/Unknown status on all conditions","Male","183026","1007"
"Missing/Unknown status on all conditions","Total","388689","1848"
"Missing/Unknown status on all conditions","Unknown","7164","2"
"None of the above conditions","Female","272203","7127"
"None of the above conditions","Male","221433","8033"
"None of the above conditions","Total","495055","15162"
"None of the above conditions","Unknown","1419","2"
"Obesity (BMI>40)","Female","6897","197"
"Obesity (BMI>40)","Male","3759","179"
"Obesity (BMI>40)","Total","10670","376"
"Obesity (BMI>40)","Unknown","14","0"
"Other Chronic Diseases","Female","34807","2145"
"Other Chronic Diseases","Male","22952","2194"
"Other Chronic Diseases","Total","57879","4339"
"Other Chronic Diseases","Unknown","120","0"
"Smoker","Female","28219","729"
"Smoker","Male","34810","1384"
"Smoker","Total","63131","2113"
"Smoker","Unknown","102","0"
"Total with completed information","Female","282212","7816"
"Total with completed information","Male","230212","8802"
"Total with completed information","Total","513888","16621"
"Total with completed information","Unknown","1464","3"
