"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","138534","5124"
"Any Chronic Condition","Male","109447","5855"
"Any Chronic Condition","Total","248459","10984"
"Any Chronic Condition","Unknown","478","5"
"Any Disability","Female","10171","1410"
"Any Disability","Male","7857","1266"
"Any Disability","Total","18054","2677"
"Any Disability","Unknown","26","1"
"Cardiovascular Disease","Female","27769","2728"
"Cardiovascular Disease","Male","25300","3310"
"Cardiovascular Disease","Total","53136","6039"
"Cardiovascular Disease","Unknown","67","1"
"Chronic Liver Disease","Female","1551","138"
"Chronic Liver Disease","Male","1348","210"
"Chronic Liver Disease","Total","2905","349"
"Chronic Liver Disease","Unknown","6","1"
"Chronic Lung Disease","Female","36783","1428"
"Chronic Lung Disease","Male","23560","1474"
"Chronic Lung Disease","Total","60450","2902"
"Chronic Lung Disease","Unknown","107","0"
"Chronic Renal Disease","Female","6136","1155"
"Chronic Renal Disease","Male","5955","1457"
"Chronic Renal Disease","Total","12104","2612"
"Chronic Renal Disease","Unknown","13","0"
"Currently Pregnant","Female","6581","11"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","6586","11"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","32473","2116"
"Diabetes Mellitus","Male","27824","2585"
"Diabetes Mellitus","Total","60398","4704"
"Diabetes Mellitus","Unknown","101","3"
"Hypertension/High blood pressure","Female","25074","1099"
"Hypertension/High blood pressure","Male","19690","1188"
"Hypertension/High blood pressure","Total","44876","2290"
"Hypertension/High blood pressure","Unknown","112","3"
"ICU","Female","5396","2137"
"ICU","Male","6865","2854"
"ICU","Total","12285","4995"
"ICU","Unknown","24","4"
"Immunocompromised Condition","Female","9982","583"
"Immunocompromised Condition","Male","5823","669"
"Immunocompromised Condition","Total","15823","1252"
"Immunocompromised Condition","Unknown","18","0"
"Missing/Unknown status on all conditions","Female","285065","983"
"Missing/Unknown status on all conditions","Male","262060","1151"
"Missing/Unknown status on all conditions","Total","555566","2136"
"Missing/Unknown status on all conditions","Unknown","8441","2"
"None of the above conditions","Female","313102","7874"
"None of the above conditions","Male","251388","8916"
"None of the above conditions","Total","565968","16795"
"None of the above conditions","Unknown","1478","5"
"Obesity (BMI>40)","Female","8864","253"
"Obesity (BMI>40)","Male","4816","217"
"Obesity (BMI>40)","Total","13703","471"
"Obesity (BMI>40)","Unknown","23","1"
"Other Chronic Diseases","Female","36373","2230"
"Other Chronic Diseases","Male","23832","2274"
"Other Chronic Diseases","Total","60317","4505"
"Other Chronic Diseases","Unknown","112","1"
"Smoker","Female","32349","782"
"Smoker","Male","38945","1479"
"Smoker","Total","71399","2261"
"Smoker","Unknown","105","0"
"Total with completed information","Female","325794","8591"
"Total with completed information","Male","261979","9719"
"Total with completed information","Total","589318","18317"
"Total with completed information","Unknown","1545","7"
