"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","150568","5824"
"Any Chronic Condition","Male","118884","6678"
"Any Chronic Condition","Total","269810","12507"
"Any Chronic Condition","Unknown","358","5"
"Any Disability","Female","11105","1515"
"Any Disability","Male","8831","1378"
"Any Disability","Total","19959","2893"
"Any Disability","Unknown","23","0"
"Cardiovascular Disease","Female","29002","2968"
"Cardiovascular Disease","Male","26541","3614"
"Cardiovascular Disease","Total","55590","6585"
"Cardiovascular Disease","Unknown","47","3"
"Chronic Liver Disease","Female","1706","158"
"Chronic Liver Disease","Male","1492","239"
"Chronic Liver Disease","Total","3200","397"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","40427","1648"
"Chronic Lung Disease","Male","26041","1671"
"Chronic Lung Disease","Total","66549","3320"
"Chronic Lung Disease","Unknown","81","1"
"Chronic Renal Disease","Female","6535","1287"
"Chronic Renal Disease","Male","6343","1605"
"Chronic Renal Disease","Total","12888","2894"
"Chronic Renal Disease","Unknown","10","2"
"Currently Pregnant","Female","7503","13"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7506","13"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","34732","2410"
"Diabetes Mellitus","Male","29687","2928"
"Diabetes Mellitus","Total","64486","5342"
"Diabetes Mellitus","Unknown","67","4"
"Hypertension/High blood pressure","Female","29359","1494"
"Hypertension/High blood pressure","Male","23002","1641"
"Hypertension/High blood pressure","Total","52449","3136"
"Hypertension/High blood pressure","Unknown","88","1"
"ICU","Female","6029","2523"
"ICU","Male","7608","3378"
"ICU","Total","13664","5905"
"ICU","Unknown","27","4"
"Immunocompromised Condition","Female","9559","574"
"Immunocompromised Condition","Male","5567","652"
"Immunocompromised Condition","Total","15137","1226"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","312483","1118"
"Missing/Unknown status on all conditions","Male","290821","1261"
"Missing/Unknown status on all conditions","Total","611830","2380"
"Missing/Unknown status on all conditions","Unknown","8526","1"
"None of the above conditions","Female","351485","9836"
"None of the above conditions","Male","281487","11307"
"None of the above conditions","Total","634350","21152"
"None of the above conditions","Unknown","1378","9"
"Obesity (BMI>40)","Female","10587","356"
"Obesity (BMI>40)","Male","5790","328"
"Obesity (BMI>40)","Total","16395","684"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","37487","2402"
"Other Chronic Diseases","Male","24535","2428"
"Other Chronic Diseases","Total","62096","4830"
"Other Chronic Diseases","Unknown","74","0"
"Smoker","Female","35793","910"
"Smoker","Male","42489","1681"
"Smoker","Total","78370","2592"
"Smoker","Unknown","88","1"
"Total with completed information","Female","364946","10621"
"Total with completed information","Male","292429","12176"
"Total with completed information","Total","658795","22809"
"Total with completed information","Unknown","1420","12"
