county_resident,positive,deaths,hospitalization,case_rate
Appling,1021,26,91,5500.78
Atkinson,441,3,58,5294.12
Bacon,595,14,45,5217.47
Baker,83,4,18,2663.67
Baldwin,2087,56,162,4697.49
Banks,478,7,65,2392.15
Barrow,2158,46,239,2498.18
Bartow,2888,84,289,2607.18
Ben Hill,760,23,79,4565.94
Berrien,446,12,21,2313.76
Bibb,6024,168,839,3959.25
Bleckley,431,20,26,3357.22
Brantley,343,10,33,1786.27
Brooks,515,25,54,3274.62
Bryan,1141,11,77,2915.4
Bulloch,2859,27,132,3597.72
Burke,795,10,86,3558.32
Butts,642,42,52,2550.25
Calhoun,239,8,46,3783.44
Camden,1277,8,51,2368.15
Candler,446,18,30,4115.53
Carroll,2734,66,153,2276.08
Catoosa,1171,18,77,1702.75
Charlton,625,7,25,4716.63
Chatham,8377,154,756,2867.11
Chattahoochee,1632,1,13,15182.81
Chattooga,757,18,52,3056.61
Cherokee,5959,92,482,2235.04
Clarke,4997,43,223,3850.39
Clay,120,2,9,4203.15
Clayton,7061,161,648,2316.31
Clinch,376,6,28,5649.04
Cobb,19430,425,1751,2457.66
Coffee,2036,48,297,4730.26
Colquitt,1877,33,153,4135
Columbia,3704,59,180,2334.98
Cook,548,13,61,3142.74
Coweta,2578,44,127,1696.04
Crawford,166,5,25,1357.54
Crisp,545,17,71,2445.15
Dade,282,5,20,1744.83
Dawson,810,7,75,2997.67
DeKalb,18521,358,2078,2335.11
Decatur,1133,29,86,4304.38
Dodge,417,12,39,2045.62
Dooly,338,14,52,2522.39
Dougherty,3137,187,641,3489.24
Douglas,3520,71,403,2317.22
Early,486,32,36,4790.07
Echols,240,2,9,6046.86
Effingham,1423,23,94,2222.53
Elbert,644,3,43,3399.31
Emanuel,1031,30,76,4549.06
Evans,421,6,35,3939.37
Fannin,641,21,49,2435.41
Fayette,1808,49,104,1538.15
Floyd,3129,45,232,3131.63
Forsyth,3926,45,315,1554.81
Franklin,747,12,60,3202.02
Fulton,27389,571,2383,2491.76
Gilmer,810,12,77,2578.22
Glascock,38,2,4,1256.2
Glynn,3446,94,281,4004.79
Gordon,1841,36,113,3171.46
Grady,768,22,91,3129.58
Greene,499,23,56,2666.03
Gwinnett,27187,401,2660,2799.48
Habersham,1633,67,216,3565.5
Hall,9147,151,948,4432.78
Hancock,387,42,64,4723.54
Haralson,460,8,26,1497.3
Harris,786,21,88,2264.35
Hart,505,13,67,1934.35
Heard,192,5,15,1552.14
Henry,5156,100,210,2149.53
Houston,3109,80,373,1979.76
Irwin,294,4,37,3116.72
Jackson,1961,31,162,2625.17
Jasper,216,4,21,1521.23
Jeff Davis,713,20,46,4706.89
Jefferson,787,26,75,5139.42
Jenkins,412,29,63,4804.1
Johnson,414,22,57,4285.27
Jones,545,8,46,1906.19
Lamar,362,18,39,1871.09
Lanier,295,5,15,2849.97
Laurens,1632,67,139,3450.61
Lee,697,25,104,2325.58
Liberty,1103,22,109,1781.79
Lincoln,213,7,24,2621.54
Long,246,3,19,1235.25
Lowndes,3872,81,199,3284.75
Lumpkin,905,14,89,2677.36
Macon,229,10,46,1763.17
Madison,687,8,58,2276.57
Marion,190,8,20,2291.09
McDuffie,595,14,68,2755.01
McIntosh,287,7,29,1970.21
Meriwether,544,13,69,2588.01
Miller,254,1,10,4406.66
Mitchell,793,45,148,3595.39
Monroe,676,50,81,2438.06
Montgomery,304,5,21,3295.75
Morgan,478,2,37,2497.65
Murray,818,6,51,2031.74
Muscogee,5973,168,662,3117.01
Newton,2575,86,267,2291.86
Non-GA Resident/Unknown State,16425,157,624,0
Oconee,736,26,64,1763.42
Oglethorpe,329,11,45,2158.79
Paulding,2760,53,141,1599.61
Peach,665,24,103,2429.22
Pickens,615,10,56,1834.18
Pierce,602,20,79,3080.07
Pike,323,10,30,1712.62
Polk,1468,17,98,3376.11
Pulaski,312,22,37,2864.22
Putnam,683,24,68,3120.86
Quitman,32,1,6,1394.94
Rabun,335,9,44,1972.21
Randolph,331,29,55,4900.8
Richmond,7027,161,559,3474.58
Rockdale,1842,36,220,1939.76
Schley,105,2,15,1990.52
Screven,406,10,42,2920.86
Seminole,354,9,23,4348.89
Spalding,1327,61,188,1920.13
Stephens,1050,38,110,3988.15
Stewart,520,14,80,8484.26
Sumter,928,62,197,3156.57
Talbot,166,5,22,2695.68
Taliaferro,22,0,2,1348.04
Tattnall,826,11,59,3250.56
Taylor,208,10,31,2613.72
Telfair,383,18,39,2448.22
Terrell,328,31,74,3873.86
Thomas,1486,63,166,3344.51
Tift,1754,56,221,4295.86
Toombs,1312,48,101,4862.32
Towns,322,9,36,2675.75
Treutlen,256,8,27,3748.72
Troup,2796,96,308,3970.8
Turner,296,22,48,3665.18
Twiggs,187,7,44,2312.64
Union,737,20,80,2909.02
Unknown,2223,7,61,0
Upson,783,62,78,2979.79
Walker,1521,33,80,2185.03
Walton,1781,53,178,1858.81
Ware,1480,59,172,4127.97
Warren,142,5,23,2725.53
Washington,666,8,48,3280.46
Wayne,1118,29,105,3729.9
Webster,44,2,10,1725.49
Wheeler,329,11,19,4159.82
White,828,19,98,2607.22
Whitfield,4530,61,237,4327.8
Wilcox,248,20,51,2821.39
Wilkes,264,5,30,2636.31
Wilkinson,336,18,60,3767.24
Worth,528,30,89,2621.39
