"county","collection_dt","ALL PCR tests performed","Running total of all PCR tests","All PCR positive tests","Running total of all PCR tests","7 day percent positive","14 day percent positive"
"Georgia","2020-03-14","376","2873","83","414","13.8","16.7"
"Georgia","2020-03-15","545","3418","118","532","14","18.2"
"Georgia","2020-03-16","1654","5072","220","752","15.2","15.6"
"Georgia","2020-03-17","2098","7170","287","1039","16.2","14.2"
"Georgia","2020-03-18","1920","9090","283","1322","16.5","14.4"
"Georgia","2020-03-19","2120","11210","308","1630","17","14.3"
"Georgia","2020-03-20","2387","13597","389","2019","16.6","14.9"
"Georgia","2020-03-21","895","14492","187","2206","16.4","15.1"
"Georgia","2020-03-22","915","15407","218","2424","16.8","15.4"
"Georgia","2020-03-23","3014","18421","615","3039","17.8","16.5"
"Georgia","2020-03-24","3344","21765","649","3688","18.6","17.4"
"Georgia","2020-03-25","3335","25100","645","4333","19.2","17.9"
"Georgia","2020-03-26","3145","28245","609","4942","19.9","18.5"
"Georgia","2020-03-27","3031","31276","646","5588","20.6","18.6"
"Georgia","2020-03-28","1134","32410","340","5928","21.9","19.2"
"Georgia","2020-03-29","954","33364","308","6236","23.2","20"
"Georgia","2020-03-30","3407","36771","752","6988","23.4","20.6"
"Georgia","2020-03-31","2855","39626","615","7603","23.7","21.1"
"Georgia","2020-04-01","3340","42966","677","8280","23.8","21.5"
"Georgia","2020-04-02","3284","46250","554","8834","23.5","21.7"
"Georgia","2020-04-03","3458","49708","640","9474","23.1","21.9"
"Georgia","2020-04-04","1650","51358","297","9771","21.4","21.7"
"Georgia","2020-04-05","860","52218","173","9944","19.6","21.4"
"Georgia","2020-04-06","4066","56284","733","10677","19","21.2"
"Georgia","2020-04-07","4698","60982","664","11341","18","20.8"
"Georgia","2020-04-08","4865","65847","687","12028","17.1","20.5"
"Georgia","2020-04-09","4590","70437","774","12802","17.1","20.3"
"Georgia","2020-04-10","5204","75641","900","13702","16.9","20"
"Georgia","2020-04-11","2467","78108","341","14043","16.3","18.9"
"Georgia","2020-04-12","966","79074","224","14267","16.8","18.2"
"Georgia","2020-04-13","4690","83764","786","15053","16.6","17.8"
"Georgia","2020-04-14","5610","89374","801","15854","16.6","17.3"
"Georgia","2020-04-15","5436","94810","712","16566","16.5","16.8"
"Georgia","2020-04-16","6332","101142","793","17359","15.9","16.5"
"Georgia","2020-04-17","6870","108012","804","18163","15.1","16"
"Georgia","2020-04-18","3524","111536","449","18612","14.9","15.6"
"Georgia","2020-04-19","2087","113623","421","19033","14.5","15.6"
"Georgia","2020-04-20","7994","121617","889","19922","13.7","15.1"
"Georgia","2020-04-21","8929","130546","917","20839","13.1","14.9"
"Georgia","2020-04-22","8723","139269","870","21709","12.6","14.6"
"Georgia","2020-04-23","6547","145816","654","22363","12.3","14.1"
"Georgia","2020-04-24","9497","155313","720","23083","11.7","13.4"
"Georgia","2020-04-25","4848","160161","348","23431","10.9","12.9"
"Georgia","2020-04-26","2124","162285","260","23691","9.8","12.1"
"Georgia","2020-04-27","8473","170758","901","24592","9.7","11.7"
"Georgia","2020-04-28","10115","180873","906","25498","9.5","11.3"
"Georgia","2020-04-29","10790","191663","887","26385","9.3","11"
"Georgia","2020-04-30","11172","202835","807","27192","8.9","10.6"
"Georgia","2020-05-01","10714","213549","886","28078","9","10.3"
"Georgia","2020-05-02","5695","219244","452","28530","9.1","10"
"Georgia","2020-05-03","3544","222788","289","28819","8.5","9.1"
"Georgia","2020-05-04","10928","233716","962","29781","8.2","9"
"Georgia","2020-05-05","9676","243392","588","30369","7.8","8.7"
"Georgia","2020-05-06","11027","254419","590","30959","7.4","8.3"
"Georgia","2020-05-07","9173","263592","597","31556","7.3","8.1"
"Georgia","2020-05-08","11784","275376","754","32310","7","8"
"Georgia","2020-05-09","6468","281844","403","32713","6.8","7.9"
"Georgia","2020-05-10","2277","284121","254","32967","7.2","7.9"
"Georgia","2020-05-11","13579","297700","833","33800","6.8","7.5"
"Georgia","2020-05-12","13715","311415","710","34510","6.7","7.3"
"Georgia","2020-05-13","12727","324142","679","35189","6.7","7.1"
"Georgia","2020-05-14","13487","337629","792","35981","6.6","7"
"Georgia","2020-05-15","15216","352845","930","36911","6.6","6.8"
"Georgia","2020-05-16","7326","360171","551","37462","6.8","6.8"
"Georgia","2020-05-17","3707","363878","306","37768","6.3","6.8"
"Georgia","2020-05-18","12603","376481","922","38690","6.5","6.7"
"Georgia","2020-05-19","14795","391276","923","39613","6.7","6.7"
"Georgia","2020-05-20","14401","405677","768","40381","6.7","6.7"
"Georgia","2020-05-21","13232","418909","762","41143","6.6","6.6"
"Georgia","2020-05-22","12949","431858","751","41894","6.6","6.6"
"Georgia","2020-05-23","6391","438249","441","42335","6.5","6.6"
"Georgia","2020-05-24","3343","441592","265","42600","6.5","6.4"
"Georgia","2020-05-25","3165","444757","205","42805","6.3","6.4"
"Georgia","2020-05-26","15631","460388","1100","43905","6.5","6.6"
"Georgia","2020-05-27","15106","475494","801","44706","6.5","6.6"
"Georgia","2020-05-28","14348","489842","742","45448","6.4","6.5"
"Georgia","2020-05-29","13147","502989","747","46195","6.4","6.5"
"Georgia","2020-05-30","6389","509378","417","46612","6.3","6.4"
"Georgia","2020-05-31","3381","512759","231","46843","6.1","6.3"
"Georgia","2020-06-01","13584","526343","939","47782","6.2","6.3"
"Georgia","2020-06-02","14187","540530","913","48695","6.1","6.3"
"Georgia","2020-06-03","15111","555641","905","49600","6.2","6.3"
"Georgia","2020-06-04","14547","570188","878","50478","6.3","6.4"
"Georgia","2020-06-05","13154","583342","818","51296","6.4","6.4"
"Georgia","2020-06-06","7721","591063","515","51811","6.4","6.4"
"Georgia","2020-06-07","3524","594587","336","52147","6.8","6.5"
"Georgia","2020-06-08","14884","609471","1083","53230","6.9","6.5"
"Georgia","2020-06-09","14602","624073","907","54137","6.8","6.5"
"Georgia","2020-06-10","15374","639447","1158","55295","7.1","6.6"
"Georgia","2020-06-11","16681","656128","1174","56469","7.2","6.8"
"Georgia","2020-06-12","14530","670658","954","57423","7.3","6.8"
"Georgia","2020-06-13","7480","678138","658","58081","7.6","7"
"Georgia","2020-06-14","4043","682181","420","58501","7.7","7.3"
"Georgia","2020-06-15","17974","700155","1465","59966","7.8","7.3"
"Georgia","2020-06-16","18060","718215","1439","61405","8.1","7.5"
"Georgia","2020-06-17","16954","735169","1707","63112","8.4","7.7"
"Georgia","2020-06-18","17703","752872","1768","64880","8.8","8"
"Georgia","2020-06-19","18493","771365","1811","66691","9.3","8.3"
"Georgia","2020-06-20","9640","781005","1180","67871","9.8","8.7"
"Georgia","2020-06-21","3904","784909","562","68433","10.4","9"
"Georgia","2020-06-22","24516","809425","3125","71558","11","9.4"
"Georgia","2020-06-23","22435","831860","2584","74142","11.5","9.8"
"Georgia","2020-06-24","23183","855043","2798","76940","11.8","10.1"
"Georgia","2020-06-25","25411","880454","3195","80135","12.2","10.5"
"Georgia","2020-06-26","28110","908564","3141","83276","12.4","10.8"
"Georgia","2020-06-27","14127","922691","1896","85172","12.6","11.2"
"Georgia","2020-06-28","5822","928513","1000","86172","13","11.7"
"Georgia","2020-06-29","32396","960909","4051","90223","12.9","12"
"Georgia","2020-06-30","33335","994244","4188","94411","13.1","12.3"
"Georgia","2020-07-01","31871","1026115","3915","98326","13.1","12.5"
"Georgia","2020-07-02","33775","1059890","4085","102411","13","12.6"
"Georgia","2020-07-03","14562","1074452","2166","104577","13.6","13"
"Georgia","2020-07-04","5479","1079931","904","105481","14","13.3"
"Georgia","2020-07-05","6325","1086256","1230","106711","14.3","13.6"
"Georgia","2020-07-06","35756","1122012","5434","112145","14.7","13.8"
"Georgia","2020-07-07","35780","1157792","4804","116949","14.8","14"
"Georgia","2020-07-08","35921","1193713","4782","121731","15","14"
"Georgia","2020-07-09","35578","1229291","4657","126388","15.1","14.1"
"Georgia","2020-07-10","34662","1263953","4526","130914","14.9","14.2"
"Georgia","2020-07-11","14636","1278589","2464","133378","14.9","14.5"
"Georgia","2020-07-12","7931","1286520","1472","134850","14.8","14.6"
"Georgia","2020-07-13","35271","1321791","5203","140053","14.7","14.7"
"Georgia","2020-07-14","34003","1355794","4714","144767","14.8","14.8"
"Georgia","2020-07-15","33980","1389774","4538","149305","14.8","14.9"
"Georgia","2020-07-16","36604","1426378","4698","154003","14.8","14.9"
"Georgia","2020-07-17","31301","1457679","3931","157934","14.7","14.8"
"Georgia","2020-07-18","14307","1471986","2092","160026","14.4","14.6"
"Georgia","2020-07-19","7481","1479467","1199","161225","14","14.4"
"Georgia","2020-07-20","33773","1513240","4748","165973","13.9","14.3"
"Georgia","2020-07-21","29601","1542841","3881","169854","13.8","14.3"
"Georgia","2020-07-22","31568","1574409","3933","173787","13.7","14.2"
"Georgia","2020-07-23","32284","1606693","3944","177731","13.6","14.2"
"Georgia","2020-07-24","30278","1636971","3838","181569","13.6","14.1"
"Georgia","2020-07-25","15405","1652376","2264","183833","13.6","14"
"Georgia","2020-07-26","6306","1658682","1069","184902","13.7","13.9"
"Georgia","2020-07-27","34327","1693009","4208","189110","13.5","13.7"
"Georgia","2020-07-28","29531","1722540","3638","192748","13.4","13.6"
"Georgia","2020-07-29","30029","1752569","3724","196472","13.4","13.5"
"Georgia","2020-07-30","29558","1782127","3665","200137","13.4","13.5"
"Georgia","2020-07-31","28968","1811095","3192","203329","13.1","13.4"
"Georgia","2020-08-01","14858","1825953","1966","205295","12.9","13.3"
"Georgia","2020-08-02","6403","1832356","996","206291","12.7","13.2"
"Georgia","2020-08-03","27981","1860337","2970","209261","12.5","13"
"Georgia","2020-08-04","28681","1889018","3330","212591","12.4","12.9"
"Georgia","2020-08-05","30067","1919085","3433","216024","12.3","12.8"
"Georgia","2020-08-06","28048","1947133","3029","219053","12","12.7"
"Georgia","2020-08-07","28139","1975272","2812","221865","11.9","12.5"
"Georgia","2020-08-08","14656","1989928","1456","223321","11.4","12.2"
"Georgia","2020-08-09","7355","1997283","1007","224328","11.2","11.9"
"Georgia","2020-08-10","29675","2026958","3118","227446","11.1","11.8"
"Georgia","2020-08-11","26795","2053753","2648","230094","10.9","11.6"
"Georgia","2020-08-12","26497","2080250","2502","232596","10.6","11.4"
"Georgia","2020-08-13","25505","2105755","2182","234778","10.3","11.2"
"Georgia","2020-08-14","27996","2133751","2285","237063","10","11"
"Georgia","2020-08-15","11633","2145384","1201","238264","10.1","10.7"
"Georgia","2020-08-16","9583","2154967","1055","239319","9.7","10.4"
"Georgia","2020-08-17","19869","2174836","1817","241136","9.5","10.3"
"Georgia","2020-08-18","24802","2199638","2219","243355","9.4","10.1"
"Georgia","2020-08-19","27017","2226655","2248","245603","9.2","9.9"
"Georgia","2020-08-20","24084","2250739","2008","247611","9.2","9.7"
"Georgia","2020-08-21","26419","2277158","2077","249688","9.1","9.6"
"Georgia","2020-08-22","12901","2290059","1096","250784","8.9","9.5"
"Georgia","2020-08-23","6448","2296507","710","251494","8.9","9.3"
"Georgia","2020-08-24","25495","2322002","2303","253797","8.9","9.2"
"Georgia","2020-08-25","23445","2345447","1955","255752","8.8","9.1"
"Georgia","2020-08-26","26548","2371995","2261","258013","8.8","9"
"Georgia","2020-08-27","24550","2396545","1942","259955","8.7","9"
"Georgia","2020-08-28","25250","2421795","2060","262015","8.8","9"
"Georgia","2020-08-29","12170","2433965","1041","263056","8.8","8.8"
"Georgia","2020-08-30","6778","2440743","788","263844","8.9","8.9"
"Georgia","2020-08-31","24753","2465496","2159","266003","8.8","8.8"
"Georgia","2020-09-01","24025","2489521","1949","267952","8.8","8.8"
"Georgia","2020-09-02","24731","2514252","1953","269905","8.7","8.8"
"Georgia","2020-09-03","23424","2537676","1842","271747","8.7","8.7"
"Georgia","2020-09-04","23551","2561227","1911","273658","8.7","8.7"
"Georgia","2020-09-05","11533","2572760","816","274474","8.5","8.6"
"Georgia","2020-09-06","5950","2578710","578","275052","8.2","8.5"
"Georgia","2020-09-07","7255","2585965","675","275727","8.3","8.6"
"Georgia","2020-09-08","26256","2612221","2102","277829","8.3","8.5"
"Georgia","2020-09-09","25586","2637807","1893","279722","8.2","8.5"
"Georgia","2020-09-10","25015","2662822","1765","281487","8.1","8.4"
"Georgia","2020-09-11","23835","2686657","1623","283110","7.9","8.3"
"Georgia","2020-09-12","10448","2697105","802","283912","8","8.2"
"Georgia","2020-09-13","5625","2702730","591","284503","8.1","8.2"
"Georgia","2020-09-14","25152","2727882","1745","286248","7.8","8"
"Georgia","2020-09-15","23105","2750987","1497","287745","7.6","7.9"
"Georgia","2020-09-16","23341","2774328","1283","289028","7.3","7.7"
"Georgia","2020-09-17","18987","2793315","1135","290163","7.1","7.6"
"Georgia","2020-09-18","23334","2816649","1357","291520","7","7.4"
"Georgia","2020-09-19","12050","2828699","774","292294","6.8","7.4"
"Georgia","2020-09-20","4880","2833579","417","292711","6.5","7.3"
"Georgia","2020-09-21","23300","2856879","1447","294158","6.4","7.1"
"Georgia","2020-09-22","21559","2878438","1272","295430","6.3","6.9"
"Georgia","2020-09-23","22789","2901227","1331","296761","6.4","6.8"
"Georgia","2020-09-24","21406","2922633","1198","297959","6.3","6.7"
"Georgia","2020-09-25","21741","2944374","1214","299173","6.3","6.6"
"Georgia","2020-09-26","8869","2953243","670","299843","6.5","6.6"
"Georgia","2020-09-27","4764","2958007","385","300228","6.4","6.5"
"Georgia","2020-09-28","22299","2980306","1301","301529","6.3","6.4"
"Georgia","2020-09-29","21346","3001652","1105","302634","6.2","6.3"
"Georgia","2020-09-30","22432","3024084","1244","303878","6.2","6.3"
"Georgia","2020-10-01","24017","3048101","1174","305052","6.1","6.2"
"Georgia","2020-10-02","22946","3071047","1217","306269","6.1","6.2"
"Georgia","2020-10-03","12334","3083381","714","306983","5.8","6.1"
"Georgia","2020-10-04","6114","3089495","434","307417","5.7","6"
"Georgia","2020-10-05","25937","3115432","1529","308946","5.7","6"
"Georgia","2020-10-06","27421","3142853","1326","310272","5.6","5.9"
"Georgia","2020-10-07","28447","3171300","1385","311657","5.5","5.9"
"Georgia","2020-10-08","24967","3196267","1385","313042","5.6","5.9"
"Georgia","2020-10-09","25281","3221548","1313","314355","5.6","5.8"
"Georgia","2020-10-10","11716","3233264","738","315093","5.7","5.7"
"Georgia","2020-10-11","5513","3238777","468","315561","5.9","5.8"
"Georgia","2020-10-12","19357","3258134","1242","316803","5.9","5.8"
"Georgia","2020-10-13","25901","3284035","1541","318344","6.1","5.9"
"Georgia","2020-10-14","23757","3307792","1362","319706","6.2","5.9"
"Georgia","2020-10-15","23743","3331535","1475","321181","6.3","6"
"Georgia","2020-10-16","23399","3354934","1464","322645","6.5","6"
"Georgia","2020-10-17","11370","3366304","743","323388","6.5","6.1"
"Georgia","2020-10-18","5259","3371563","470","323858","6.6","6.2"
"Georgia","2020-10-19","26213","3397776","1725","325583","6.6","6.3"
"Georgia","2020-10-20","24283","3422059","1529","327112","6.7","6.4"
"Georgia","2020-10-21","27342","3449401","1715","328827","6.7","6.5"
"Georgia","2020-10-22","23327","3472728","1658","330485","6.9","6.6"
"Georgia","2020-10-23","25238","3497966","1631","332116","6.9","6.7"
"Georgia","2020-10-24","12099","3510065","967","333083","7.1","6.8"
"Georgia","2020-10-25","7170","3517235","678","333761","7.2","6.9"
"Georgia","2020-10-26","27411","3544646","1962","335723","7.2","6.9"
"Georgia","2020-10-27","26210","3570856","1679","337402","7.3","7"
"Georgia","2020-10-28","27993","3598849","1823","339225","7.3","7"
"Georgia","2020-10-29","20019","3618868","1413","340638","7.3","7.1"
"Georgia","2020-10-30","26837","3645705","1761","342399","7.3","7.1"
"Georgia","2020-10-31","12645","3658350","1035","343434","7.3","7.2"
"Georgia","2020-11-01","6972","3665322","735","344169","7.5","7.3"
"Georgia","2020-11-02","29138","3694460","2186","346355","7.5","7.4"
"Georgia","2020-11-03","24448","3718908","1687","348042","7.6","7.4"
"Georgia","2020-11-04","26393","3745301","1867","349909","7.7","7.5"
"Georgia","2020-11-05","27730","3773031","1821","351730","7.6","7.5"
"Georgia","2020-11-06","27540","3800571","1919","353649","7.7","7.5"
"Georgia","2020-11-07","13983","3814554","1380","355029","7.9","7.6"
"Georgia","2020-11-08","7434","3821988","838","355867","8","7.8"
"Georgia","2020-11-09","30544","3852532","2737","358604","8.2","7.9"
"Georgia","2020-11-10","31304","3883836","2470","361074","8.4","8"
"Georgia","2020-11-11","25707","3909543","2068","363142","8.5","8.1"
"Georgia","2020-11-12","32709","3942252","2669","365811","8.7","8.2"
"Georgia","2020-11-13","33314","3975566","2508","368319","8.8","8.2"
"Georgia","2020-11-14","17226","3992792","1583","369902","8.7","8.3"
"Georgia","2020-11-15","8461","4001253","979","370881","8.8","8.4"
"Georgia","2020-11-16","36258","4037511","3090","373971","8.7","8.5"
"Georgia","2020-11-17","36277","4073788","2681","376652","8.6","8.5"
"Georgia","2020-11-18","39787","4113575","2669","379321","8.4","8.5"
"Georgia","2020-11-19","40065","4153640","2769","382090","8.3","8.5"
"Georgia","2020-11-20","40521","4194161","2734","384824","8.1","8.5"
"Georgia","2020-11-21","20989","4215150","1618","386442","7.9","8.3"
"Georgia","2020-11-22","10754","4225904","988","387430","7.6","8.2"
"Georgia","2020-11-23","42943","4268847","3277","390707","7.5","8.1"
"Georgia","2020-11-24","37353","4306200","3163","393870","7.6","8.1"
"Georgia","2020-11-25","33380","4339580","3197","397067","8","8.2"
"Georgia","2020-11-26","5597","4345177","459","397526","8.2","8.2"
"Georgia","2020-11-27","18625","4363802","2504","400030","9.2","8.7"
"Georgia","2020-11-28","14722","4378524","2267","402297","10.3","9.1"
"Georgia","2020-11-29","11036","4389560","1668","403965","11.1","9.4"
"Georgia","2020-11-30","41489","4431049","5169","409134","11.8","9.6"
"Georgia","2020-12-01","37933","4468982","4573","413707","12.3","10"
"Georgia","2020-12-02","39094","4508076","4506","418213","12.6","10.3"
"Georgia","2020-12-03","37292","4545368","4461","422674","13.1","10.7"
"Georgia","2020-12-04","37072","4582440","4290","426964","12.9","11"
"Georgia","2020-12-05","20341","4602781","2762","429726","12.6","11.4"
"Georgia","2020-12-06","10247","4613028","1640","431366","12.7","11.9"
"Georgia","2020-12-07","41344","4654372","5250","436616","12.8","12.3"
"Georgia","2020-12-08","40594","4694966","4982","441598","12.8","12.6"
"Georgia","2020-12-09","41789","4736755","4977","446575","12.9","12.7"
"Georgia","2020-12-10","40469","4777224","5190","451765","13","13.1"
"Georgia","2020-12-11","41463","4818687","5168","456933","13.1","13"
"Georgia","2020-12-12","22927","4841614","3404","460337","13.3","12.9"
"Georgia","2020-12-13","10946","4852560","2097","462434","13.7","13.2"
"Georgia","2020-12-14","48332","4900892","6784","469218","13.9","13.4"
"Georgia","2020-12-15","48161","4949053","6595","475813","14.1","13.5"
"Georgia","2020-12-16","46425","4995478","5974","481787","14.3","13.6"
"Georgia","2020-12-17","49323","5044801","6619","488406","14.4","13.7"
"Georgia","2020-12-18","47817","5092618","6257","494663","14.4","13.8"
"Georgia","2020-12-19","25794","5118412","3765","498428","14.4","13.8"
"Georgia","2020-12-20","13769","5132181","2586","501014","14.4","14"
"Georgia","2020-12-21","53259","5185440","7897","508911","14.5","14.2"
"Georgia","2020-12-22","50589","5236029","7561","516472","14.6","14.4"
"Georgia","2020-12-23","46994","5283023","6806","523278","14.9","14.6"
"Georgia","2020-12-24","22110","5305133","3839","527117","15.4","14.9"
"Georgia","2020-12-25","4027","5309160","813","527930","16.5","15.4"
"Georgia","2020-12-26","20071","5329231","4570","532500","17.6","16"
"Georgia","2020-12-27","13509","5342740","3390","535890","18.5","16.4"
"Georgia","2020-12-28","51966","5394706","9815","545705","19.1","16.8"
"Georgia","2020-12-29","48735","5443441","9697","555402","19.8","17.2"
"Georgia","2020-12-30","49567","5493008","8991","564393","20.3","17.6"
"Georgia","2020-12-31","35970","5528978","6437","570830","20.4","17.9"
"Georgia","2021-01-01","6720","5535698","1658","572488","21.1","18.8"
"Georgia","2021-01-02","20099","5555797","4426","576914","20.9","19.3"
"Georgia","2021-01-03","11546","5567343","2930","579844","21","19.8"
"Georgia","2021-01-04","49106","5616449","9987","589831","21.2","20.1"
"Georgia","2021-01-05","65448","5681897","12192","602023","21","20.4"
"Georgia","2021-01-06","52890","5734787","9284","611307","20.9","20.6"
"Georgia","2021-01-07","52181","5786968","9716","621023","21","20.7"
"Georgia","2021-01-08","43410","5830378","7522","628545","20","20.5"
"Georgia","2021-01-09","24850","5855228","5074","633619","19.8","20.3"
"Georgia","2021-01-10","13728","5868956","3077","636696","19.3","20.2"
"Georgia","2021-01-11","45537","5914493","7781","644477","18.9","20"
"Georgia","2021-01-12","48262","5962755","7602","652079","18.5","19.7"
"Georgia","2021-01-13","44655","6007410","6649","658728","18.1","19.5"
"Georgia","2021-01-14","44440","6051850","6758","665486","17.6","19.3"
"Georgia","2021-01-15","41356","6093206","6476","671962","17.3","18.7"
"Georgia","2021-01-16","22143","6115349","4213","676175","17.1","18.4"
"Georgia","2021-01-17","12694","6128043","2682","678857","17","18.1"
"Georgia","2021-01-18","32487","6160530","5177","684034","16.8","17.8"
"Georgia","2021-01-19","44118","6204648","6229","690263","16.6","17.5"
"Georgia","2021-01-20","41403","6246051","5559","695822","16.4","17.2"
"Georgia","2021-01-21","39521","6285572","5595","701417","16.2","16.9"
"Georgia","2021-01-22","38680","6324252","5148","706565","15.9","16.6"
"Georgia","2021-01-23","19751","6344003","3326","709891","15.6","16.4"
"Georgia","2021-01-24","12232","6356235","2339","712230","15.3","16.1"
"Georgia","2021-01-25","41924","6398159","5804","718034","15","15.9"
"Georgia","2021-01-26","40247","6438406","5252","723286","14.8","15.7"
"Georgia","2021-01-27","36033","6474439","4427","727713","14.7","15.5"
"Georgia","2021-01-28","32779","6507218","4173","731886","14.5","15.3"
"Georgia","2021-01-29","23697","6530915","2918","734804","14.3","15.1"
"Georgia","2021-01-30","5224","6536139","816","735620","14.1","14.8"
"Georgia","2021-01-31","668","6536807","128","735748","14.1","14.7"
"Georgia","2021-02-01","4","6536811","0","735748","12.2","13.6"
"Appling","2020-02-01","0","0","0","0",".","."
"Appling","2020-02-02","0","0","0","0",".","."
"Appling","2020-02-03","0","0","0","0",".","."
"Appling","2020-02-04","0","0","0","0",".","."
"Appling","2020-02-05","0","0","0","0",".","."
"Appling","2020-02-06","0","0","0","0",".","."
"Appling","2020-02-07","0","0","0","0","0","."
"Appling","2020-02-08","0","0","0","0","0","."
"Appling","2020-02-09","0","0","0","0","0","."
"Appling","2020-02-10","0","0","0","0","0","."
"Appling","2020-02-11","0","0","0","0","0","."
"Appling","2020-02-12","0","0","0","0","0","."
"Appling","2020-02-13","0","0","0","0","0","."
"Appling","2020-02-14","0","0","0","0","0","0"
"Appling","2020-02-15","0","0","0","0","0","0"
"Appling","2020-02-16","0","0","0","0","0","0"
"Appling","2020-02-17","0","0","0","0","0","0"
"Appling","2020-02-18","0","0","0","0","0","0"
"Appling","2020-02-19","0","0","0","0","0","0"
"Appling","2020-02-20","0","0","0","0","0","0"
"Appling","2020-02-21","0","0","0","0","0","0"
"Appling","2020-02-22","0","0","0","0","0","0"
"Appling","2020-02-23","0","0","0","0","0","0"
"Appling","2020-02-24","0","0","0","0","0","0"
"Appling","2020-02-25","0","0","0","0","0","0"
"Appling","2020-02-26","0","0","0","0","0","0"
"Appling","2020-02-27","0","0","0","0","0","0"
"Appling","2020-02-28","0","0","0","0","0","0"
"Appling","2020-02-29","0","0","0","0","0","0"
"Appling","2020-03-01","0","0","0","0","0","0"
"Appling","2020-03-02","0","0","0","0","0","0"
"Appling","2020-03-03","0","0","0","0","0","0"
"Appling","2020-03-04","0","0","0","0","0","0"
"Appling","2020-03-05","0","0","0","0","0","0"
"Appling","2020-03-06","0","0","0","0","0","0"
"Appling","2020-03-07","0","0","0","0","0","0"
"Appling","2020-03-08","0","0","0","0","0","0"
"Appling","2020-03-09","0","0","0","0","0","0"
"Appling","2020-03-10","0","0","0","0","0","0"
"Appling","2020-03-11","0","0","0","0","0","0"
"Appling","2020-03-12","0","0","0","0","0","0"
"Appling","2020-03-13","1","1","0","0","0","0"
"Appling","2020-03-14","0","1","0","0","0","0"
"Appling","2020-03-15","0","1","0","0","0","0"
"Appling","2020-03-16","3","4","0","0","0","0"
"Appling","2020-03-17","3","7","0","0","0","0"
"Appling","2020-03-18","3","10","0","0","0","0"
"Appling","2020-03-19","3","13","0","0","0","0"
"Appling","2020-03-20","2","15","0","0","0","0"
"Appling","2020-03-21","1","16","0","0","0","0"
"Appling","2020-03-22","1","17","0","0","0","0"
"Appling","2020-03-23","1","18","0","0","0","0"
"Appling","2020-03-24","4","22","0","0","0","0"
"Appling","2020-03-25","6","28","0","0","0","0"
"Appling","2020-03-26","3","31","0","0","0","0"
"Appling","2020-03-27","2","33","1","1","7.1","3.6"
"Appling","2020-03-28","3","36","2","3","16.7","8.3"
"Appling","2020-03-29","0","36","0","3","16.7","8.3"
"Appling","2020-03-30","8","44","2","5","20.2","10.1"
"Appling","2020-03-31","5","49","1","6","23.1","11.5"
"Appling","2020-04-01","4","53","0","6","23.1","11.5"
"Appling","2020-04-02","3","56","0","6","23.1","11.5"
"Appling","2020-04-03","1","57","1","7","30.2","18.7"
"Appling","2020-04-04","0","57","0","7","20.7","18.7"
"Appling","2020-04-05","2","59","0","7","20.7","18.7"
