"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","79408","2885"
"Any Chronic Condition","Male","63174","3256"
"Any Chronic Condition","Total","143104","6143"
"Any Chronic Condition","Unknown","522","2"
"Cardiovascular Disease","Female","21030","1778"
"Cardiovascular Disease","Male","18580","2040"
"Cardiovascular Disease","Total","39711","3818"
"Cardiovascular Disease","Unknown","101","0"
"Chronic Liver Disease","Female","876","74"
"Chronic Liver Disease","Male","791","118"
"Chronic Liver Disease","Total","1672","192"
"Chronic Liver Disease","Unknown","5","0"
"Chronic Lung Disease","Female","21289","826"
"Chronic Lung Disease","Male","13422","828"
"Chronic Lung Disease","Total","34835","1655"
"Chronic Lung Disease","Unknown","124","1"
"Chronic Renal Disease","Female","3910","685"
"Chronic Renal Disease","Male","3732","822"
"Chronic Renal Disease","Total","7667","1507"
"Chronic Renal Disease","Unknown","25","0"
"Currently Pregnant","Female","3528","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3537","5"
"Currently Pregnant","Unknown","9","0"
"Diabetes Mellitus","Female","20484","1195"
"Diabetes Mellitus","Male","17468","1452"
"Diabetes Mellitus","Total","38075","2647"
"Diabetes Mellitus","Unknown","123","0"
"ICU","Female","3347","1240"
"ICU","Male","4364","1675"
"ICU","Total","7727","2916"
"ICU","Unknown","16","1"
"Immunocompromised Condition","Female","7316","345"
"Immunocompromised Condition","Male","4410","396"
"Immunocompromised Condition","Total","11750","741"
"Immunocompromised Condition","Unknown","24","0"
"Missing/Unknown status on all conditions","Female","148496","698"
"Missing/Unknown status on all conditions","Male","134916","818"
"Missing/Unknown status on all conditions","Total","291503","1522"
"Missing/Unknown status on all conditions","Unknown","8091","6"
"Neurologic/Neurodevelopmental","Female","5279","821"
"Neurologic/Neurodevelopmental","Male","3731","713"
"Neurologic/Neurodevelopmental","Total","9043","1535"
"Neurologic/Neurodevelopmental","Unknown","33","1"
"None of the above conditions","Female","177416","3646"
"None of the above conditions","Male","142629","3935"
"None of the above conditions","Total","321585","7583"
"None of the above conditions","Unknown","1540","2"
"Other Chronic Diseases","Female","27484","1569"
"Other Chronic Diseases","Male","18561","1586"
"Other Chronic Diseases","Total","46228","3156"
"Other Chronic Diseases","Unknown","183","1"
"Smoker","Female","18122","395"
"Smoker","Male","22726","771"
"Smoker","Total","40965","1166"
"Smoker","Unknown","117","0"
"Total with completed information","Female","185986","4186"
"Total with completed information","Male","150096","4569"
"Total with completed information","Total","337701","8758"
"Total with completed information","Unknown","1619","3"
