"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","105513","3940"
"Any Chronic Condition","Male","83918","4619"
"Any Chronic Condition","Total","190125","8562"
"Any Chronic Condition","Unknown","694","3"
"Any Disability","Female","7454","1087"
"Any Disability","Male","5559","1002"
"Any Disability","Total","13063","2091"
"Any Disability","Unknown","50","2"
"Cardiovascular Disease","Female","24213","2245"
"Cardiovascular Disease","Male","21912","2739"
"Cardiovascular Disease","Total","46251","4985"
"Cardiovascular Disease","Unknown","126","1"
"Chronic Liver Disease","Female","1194","111"
"Chronic Liver Disease","Male","1047","158"
"Chronic Liver Disease","Total","2249","269"
"Chronic Liver Disease","Unknown","8","0"
"Chronic Lung Disease","Female","27741","1103"
"Chronic Lung Disease","Male","17686","1163"
"Chronic Lung Disease","Total","45587","2266"
"Chronic Lung Disease","Unknown","160","0"
"Chronic Renal Disease","Female","4901","898"
"Chronic Renal Disease","Male","4805","1133"
"Chronic Renal Disease","Total","9733","2032"
"Chronic Renal Disease","Unknown","27","1"
"Currently Pregnant","Female","4451","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4462","6"
"Currently Pregnant","Unknown","11","0"
"Diabetes Mellitus","Female","26019","1620"
"Diabetes Mellitus","Male","22513","2053"
"Diabetes Mellitus","Total","48677","3674"
"Diabetes Mellitus","Unknown","145","1"
"Hypertension/High blood pressure","Female","12034","402"
"Hypertension/High blood pressure","Male","9472","516"
"Hypertension/High blood pressure","Total","21594","919"
"Hypertension/High blood pressure","Unknown","88","1"
"ICU","Female","4055","1644"
"ICU","Male","5253","2258"
"ICU","Total","9327","3905"
"ICU","Unknown","19","3"
"Immunocompromised Condition","Female","9442","492"
"Immunocompromised Condition","Male","5583","587"
"Immunocompromised Condition","Total","15061","1079"
"Immunocompromised Condition","Unknown","36","0"
"Missing/Unknown status on all conditions","Female","200621","839"
"Missing/Unknown status on all conditions","Male","182853","1020"
"Missing/Unknown status on all conditions","Total","393396","1866"
"Missing/Unknown status on all conditions","Unknown","9922","7"
"None of the above conditions","Female","231121","5840"
"None of the above conditions","Male","186582","6640"
"None of the above conditions","Total","419658","12483"
"None of the above conditions","Unknown","1955","3"
"Obesity (BMI>40)","Female","3950","84"
"Obesity (BMI>40)","Male","2207","95"
"Obesity (BMI>40)","Total","6174","179"
"Obesity (BMI>40)","Unknown","17","0"
"Other Chronic Diseases","Female","32092","1905"
"Other Chronic Diseases","Male","21295","1980"
"Other Chronic Diseases","Total","53603","3886"
"Other Chronic Diseases","Unknown","216","1"
"Smoker","Female","23813","556"
"Smoker","Male","29513","1114"
"Smoker","Total","53488","1670"
"Smoker","Unknown","162","0"
"Total with completed information","Female","241384","6507"
"Total with completed information","Male","195644","7406"
"Total with completed information","Total","439084","13918"
"Total with completed information","Unknown","2056","5"
