"county","report_date","ALL PCR tests performed","Running total of all PCR tests","All PCR positive tests","Running total of all PCR tests","7 day percent positive","14 day percent positive"
"Georgia","2020-02-01","0","0","0","0",".","."
"Georgia","2020-02-02","0","0","0","0",".","."
"Georgia","2020-02-03","0","0","0","0",".","."
"Georgia","2020-02-04","0","0","0","0",".","."
"Georgia","2020-02-05","0","0","0","0",".","."
"Georgia","2020-02-06","0","0","0","0",".","."
"Georgia","2020-02-07","0","0","0","0","0","."
"Georgia","2020-02-08","0","0","0","0","0","."
"Georgia","2020-02-09","0","0","0","0","0","."
"Georgia","2020-02-10","0","0","0","0","0","."
"Georgia","2020-02-11","0","0","0","0","0","."
"Georgia","2020-02-12","0","0","0","0","0","."
"Georgia","2020-02-13","0","0","0","0","0","."
"Georgia","2020-02-14","0","0","0","0","0","0"
"Georgia","2020-02-15","0","0","0","0","0","0"
"Georgia","2020-02-16","0","0","0","0","0","0"
"Georgia","2020-02-17","0","0","0","0","0","0"
"Georgia","2020-02-18","0","0","0","0","0","0"
"Georgia","2020-02-19","0","0","0","0","0","0"
"Georgia","2020-02-20","0","0","0","0","0","0"
"Georgia","2020-02-21","0","0","0","0","0","0"
"Georgia","2020-02-22","0","0","0","0","0","0"
"Georgia","2020-02-23","0","0","0","0","0","0"
"Georgia","2020-02-24","0","0","0","0","0","0"
"Georgia","2020-02-25","0","0","0","0","0","0"
"Georgia","2020-02-26","0","0","0","0","0","0"
"Georgia","2020-02-27","0","0","0","0","0","0"
"Georgia","2020-02-28","0","0","0","0","0","0"
"Georgia","2020-02-29","0","0","0","0","0","0"
"Georgia","2020-03-01","0","0","0","0","0","0"
"Georgia","2020-03-02","0","0","0","0","0","0"
"Georgia","2020-03-03","0","0","0","0","0","0"
"Georgia","2020-03-04","0","0","0","0","0","0"
"Georgia","2020-03-05","0","0","0","0","0","0"
"Georgia","2020-03-06","0","0","0","0","0","0"
"Georgia","2020-03-07","0","0","0","0","0","0"
"Georgia","2020-03-08","0","0","0","0","0","0"
"Georgia","2020-03-09","6","6","1","1","2.4","1.2"
"Georgia","2020-03-10","23","29","1","2","3","1.5"
"Georgia","2020-03-11","15","44","2","4","4.9","2.5"
"Georgia","2020-03-12","37","81","3","7","6.1","3"
"Georgia","2020-03-13","255","336","25","32","7.5","3.7"
"Georgia","2020-03-14","130","466","9","41","8.5","4.2"
"Georgia","2020-03-15","241","707","27","68","10.1","5"
"Georgia","2020-03-16","252","959","32","100","9.5","5.9"
"Georgia","2020-03-17","541","1500","85","185","11.1","7.1"
"Georgia","2020-03-18","366","1866","61","246","11.6","8.2"
"Georgia","2020-03-19","602","2468","106","352","12.9","9.5"
"Georgia","2020-03-20","647","3115","108","460","13.9","10.7"
"Georgia","2020-03-21","866","3981","122","582","15","11.7"
"Georgia","2020-03-22","781","4762","116","698","15.5","12.8"
"Georgia","2020-03-23","1197","5959","207","905","16.1","12.8"
"Georgia","2020-03-24","847","6806","187","1092","17","14.1"
"Georgia","2020-03-25","2501","9307","403","1495","17","14.3"
"Georgia","2020-03-26","655","9962","62","1557","15.8","14.4"
"Georgia","2020-03-27","1059","11021","232","1789","16.5","15.2"
"Georgia","2020-03-28","3059","14080","594","2383","17.3","16.1"
"Georgia","2020-03-29","549","14629","125","2508","18.4","17"
"Georgia","2020-03-30","1596","16225","412","2920","19.7","17.9"
"Georgia","2020-03-31","3685","19910","733","3653","19.3","18.2"
"Georgia","2020-04-01","428","20338","60","3713","19","18"
"Georgia","2020-04-02","2632","22970","847","4560","22.3","19"
"Georgia","2020-04-03","2316","25286","450","5010","21.9","19.2"
"Georgia","2020-04-04","1051","26337","282","5292","23","20.1"
"Georgia","2020-04-05","1604","27941","281","5573","22.2","20.3"
"Georgia","2020-04-06","3409","31350","581","6154","21","20.3"
"Georgia","2020-04-07","6647","37997","1663","7817","21.7","20.5"
"Georgia","2020-04-08","3002","40999","708","8525","23.1","21.1"
"Georgia","2020-04-09","3829","44828","628","9153","20.8","21.6"
"Georgia","2020-04-10","1360","46188","238","9391","20.6","21.2"
"Georgia","2020-04-11","5581","51769","521","9912","18.1","20.5"
"Georgia","2020-04-12","4844","56613","698","10610","17.6","19.9"
"Georgia","2020-04-13","476","57089","49","10659","16.6","18.8"
"Georgia","2020-04-14","4719","61808","865","11524","15.7","18.7"
"Georgia","2020-04-15","3424","65232","547","12071","14.6","18.8"
"Georgia","2020-04-16","4534","69766","692","12763","14.4","17.6"
"Georgia","2020-04-17","1920","71686","239","13002","13.7","17.1"
"Georgia","2020-04-18","7664","79350","1181","14183","14.6","16.3"
"Georgia","2020-04-19","3977","83327","430","14613","14.1","15.8"
"Georgia","2020-04-20","4096","87423","496","15109","14.3","15.5"
"Georgia","2020-04-21","4999","92422","526","15635","13.2","14.5"
"Georgia","2020-04-22","1649","94071","169","15804","12.4","13.5"
"Georgia","2020-04-23","6908","100979","667","16471","11.6","13"
"Georgia","2020-04-24","6106","107085","693","17164","11.4","12.6"
"Georgia","2020-04-25","13942","121027","1628","18792","10.9","12.8"
"Georgia","2020-04-26","3402","124429","316","19108","10.7","12.4"
"Georgia","2020-04-27","11750","136179","1449","20557","10.7","12.5"
"Georgia","2020-04-28","3735","139914","393","20950","10.7","12"
"Georgia","2020-04-29","5311","145225","552","21502","10.7","11.6"
"Georgia","2020-04-30","15956","161181","1543","23045","10.7","11.2"
"Georgia","2020-05-01","4881","166062","389","23434","10.3","10.9"
"Georgia","2020-05-02","6461","172523","527","23961","9.8","10.3"
"Georgia","2020-05-03","445","172968","24","23985","9.2","9.9"
"Georgia","2020-05-04","12573","185541","914","24899","8.5","9.6"
"Georgia","2020-05-05","4781","190322","298","25197","7.9","9.3"
"Georgia","2020-05-06","8903","199225","654","25851","7.4","9.1"
"Georgia","2020-05-07","10285","209510","582","26433","6.9","8.8"
"Georgia","2020-05-08","4834","214344","326","26759","6.7","8.5"
"Georgia","2020-05-09","4803","219147","326","27085","6.5","8.1"
"Georgia","2020-05-10","5327","224474","1196","28281","8.9","9.1"
"Georgia","2020-05-11","10418","234892","907","29188","9.1","8.8"
"Georgia","2020-05-12","10273","245165","673","29861","9.2","8.5"
"Georgia","2020-05-13","5697","250862","353","30214","9","8.2"
"Georgia","2020-05-14","10998","261860","767","30981","9.2","8"
"Georgia","2020-05-15","13904","275764","740","31721","9","7.8"
"Georgia","2020-05-16","24933","300697","1558","33279","8.9","7.7"
"Georgia","2020-05-17","8234","308931","481","33760","6.5","7.7"
"Georgia","2020-05-18","9329","318260","573","34333","6.2","7.7"
"Georgia","2020-05-19","4167","322427","167","34500","5.8","7.5"
"Georgia","2020-05-20","16484","338911","960","35460","5.8","7.4"
"Georgia","2020-05-21","477","339388","66","35526","6.7","8"
"Georgia","2020-05-22","9995","349383","582","36108","6.8","7.9"
"Georgia","2020-05-23","13179","362562","760","36868","6.7","7.8"
"Georgia","2020-05-24","16663","379225","975","37843","6.8","6.6"
"Georgia","2020-05-25","21337","400562","1132","38975","6.6","6.4"
"Georgia","2020-05-26","3672","404234","275","39250","7.1","6.5"
"Georgia","2020-05-27","7524","411758","287","39537","6.8","6.3"
"Georgia","2020-05-28","7450","419208","452","39989","5.7","6.2"
"Georgia","2020-05-29","9111","428319","520","40509","5.7","6.3"
"Georgia","2020-05-30","8584","436903","467","40976","5.7","6.2"
"Georgia","2020-05-31","30561","467464","1772","42748","5.7","6.2"
"Georgia","2020-06-01","265","467729","13","42761","5.6","6.1"
"Georgia","2020-06-02","6493","474222","293","43054","5.2","6.2"
"Georgia","2020-06-03","8425","482647","461","43515","5.4","6.1"
"Georgia","2020-06-04","13624","496271","844","44359","5.4","5.6"
"Georgia","2020-06-05","11548","507819","837","45196","5.7","5.7"
"Georgia","2020-06-06","15070","522889","861","46057","5.7","5.7"
"Georgia","2020-06-07","12007","534896","756","46813","5.8","5.7"
"Georgia","2020-06-08","9516","544412","620","47433","6","5.8"
"Georgia","2020-06-09","7044","551456","481","47914","6.3","5.8"
"Georgia","2020-06-10","13765","565221","807","48721","6.4","5.9"
"Georgia","2020-06-11","13243","578464","882","49603","6.4","5.9"
"Georgia","2020-06-12","7493","585957","586","50189","6.5","6.1"
"Georgia","2020-06-13","13254","599211","952","51141","6.7","6.2"
"Georgia","2020-06-14","15786","614997","1154","52295","6.9","6.3"
"Georgia","2020-06-15","9589","624586","618","52913","6.9","6.4"
"Georgia","2020-06-16","4218","628804","400","53313","7.3","6.8"
"Georgia","2020-06-17","15453","644257","914","54227","7.3","6.8"
"Georgia","2020-06-18","12699","656956","842","55069","7.3","6.9"
"Georgia","2020-06-19","6560","663516","552","55621","7.3","6.9"
"Georgia","2020-06-20","24618","688134","2335","57956","7.7","7.2"
"Georgia","2020-06-21","9707","697841","915","58871","8","7.4"
"Georgia","2020-06-22","9708","707549","1089","59960","8.7","7.8"
"Georgia","2020-06-23","23236","730785","1826","61786","8.4","7.8"
"Georgia","2020-06-24","11973","742758","1327","63113","9.2","8.2"
"Georgia","2020-06-25","14690","757448","1698","64811","9.9","8.6"
"Georgia","2020-06-26","13104","770552","1701","66512","10.5","8.9"
"Georgia","2020-06-27","18785","789337","2058","68570","10.7","9.2"
"Georgia","2020-06-28","17125","806462","2313","70883","11.3","9.6"
"Georgia","2020-06-29","16179","822641","2161","73044","11.6","10.1"
"Georgia","2020-06-30","11092","833733","1170","74214","12","10.2"
"Georgia","2020-07-01","21892","855625","2451","76665","12","10.6"
"Georgia","2020-07-02","28393","884018","3309","79974","12","10.9"
"Georgia","2020-07-03","18412","902430","2452","82426","12.1","11.3"
"Georgia","2020-07-04","25785","928215","2937","85363","12.1","11.4"
"Georgia","2020-07-05","23295","951510","2478","87841","11.7","11.5"
"Georgia","2020-07-06","13080","964590","1247","89088","11.2","11.4"
"Georgia","2020-07-07","21323","985913","2612","91700","11.4","11.7"
"Georgia","2020-07-08","21610","1007523","3121","94821","11.9","12"
"Georgia","2020-07-09","19864","1027387","2773","97594","12.2","12.1"
"Georgia","2020-07-10","27338","1054725","3566","101160","12.2","12.1"
"Georgia","2020-07-11","18248","1072973","2609","103769","12.6","12.4"
"Georgia","2020-07-12","18697","1091670","2433","106202","12.9","12.3"
"Georgia","2020-07-13","24919","1116589","3801","110003","13.8","12.5"
"Georgia","2020-07-14","24172","1140761","3165","113168","13.9","12.6"
"Georgia","2020-07-15","24490","1165251","3252","116420","13.7","12.8"
"Georgia","2020-07-16","24861","1190112","3477","119897","13.7","13"
"Georgia","2020-07-17","21023","1211135","3280","123177","14.1","13.1"
"Georgia","2020-07-18","33436","1244571","4373","127550","13.9","13.2"
"Georgia","2020-07-19","28268","1272839","3458","131008","13.8","13.4"
"Georgia","2020-07-20","16442","1289281","2168","133176","13.5","13.6"
"Georgia","2020-07-21","22036","1311317","2992","136168","13.6","13.7"
"Georgia","2020-07-22","22026","1333343","2651","138819","13.4","13.5"
"Georgia","2020-07-23","20564","1353907","3430","142249","13.8","13.7"
"Georgia","2020-07-24","46886","1400793","5113","147362","13.1","13.6"
"Georgia","2020-07-25","30895","1431688","3432","150794","12.8","13.4"
"Georgia","2020-07-26","23372","1455060","2788","153582","12.8","13.3"
"Georgia","2020-07-27","23968","1479028","3288","156870","12.9","13.2"
"Georgia","2020-07-28","34855","1513883","4135","161005","12.6","13.1"
"Georgia","2020-07-29","26141","1540024","2946","163951","12.5","12.9"
"Georgia","2020-07-30","29573","1569597","3652","167603","11.9","12.8"
"Georgia","2020-07-31","34533","1604130","3910","171513","11.9","12.5"
"Georgia","2020-08-01","22014","1626144","3102","174615","12.4","12.6"
"Georgia","2020-08-02","28767","1654911","3281","177896","12.3","12.5"
"Georgia","2020-08-03","21773","1676684","2613","180509","12","12.4"
"Georgia","2020-08-04","19161","1695845","2290","182799","12.1","12.3"
"Georgia","2020-08-05","30856","1726701","3375","186174","12","12.3"
"Georgia","2020-08-06","25274","1751975","2818","188992","11.8","11.9"
"Georgia","2020-08-07","23598","1775573","3234","192226","12.2","12.1"
"Georgia","2020-08-08","39861","1815434","4347","196573","11.7","12"
"Georgia","2020-08-09","32143","1847577","3034","199607","11.4","11.9"
"Georgia","2020-08-10","22035","1869612","2243","201850","11.2","11.6"
"Georgia","2020-08-11","28605","1898217","2703","204553","10.8","11.4"
"Georgia","2020-08-12","16217","1914434","1987","206540","11","11.5"
"Georgia","2020-08-13","29441","1943875","2610","209150","10.7","11.3"
"Georgia","2020-08-14","27319","1971194","2990","212140","10.3","11.2"
"Georgia","2020-08-15","16872","1988066","1557","213697","10.1","10.9"
"Georgia","2020-08-16","17207","2005273","1831","215528","10.2","10.8"
"Georgia","2020-08-17","24429","2029702","1953","217481","9.9","10.5"
"Georgia","2020-08-18","30617","2060319","2506","219987","9.7","10.3"
"Georgia","2020-08-19","15378","2075697","1606","221593","9.5","10.2"
"Georgia","2020-08-20","21138","2096835","1947","223540","9.5","10.1"
"Georgia","2020-08-21","23267","2120102","2398","225938","9.4","9.9"
"Georgia","2020-08-22","29068","2149170","2685","228623","9.4","9.7"
"Georgia","2020-08-23","22714","2171884","1910","230533","9.1","9.7"
"Georgia","2020-08-24","33297","2205181","4899","235432","10.1","10"
"Georgia","2020-08-25","25669","2230850","2003","237435","10","9.9"
"Georgia","2020-08-26","18051","2248901","1620","239055","9.8","9.6"
"Georgia","2020-08-27","19936","2268837","1631","240686","9.7","9.6"
"Georgia","2020-08-28","18147","2286984","1634","242320","9.5","9.5"
"Georgia","2020-08-29","25195","2312179","2193","244513","9.4","9.4"
"Georgia","2020-08-30","15311","2327490","1324","245837","9.4","9.3"
"Georgia","2020-08-31","16144","2343634","1755","247592","8.9","9.5"
"Georgia","2020-09-01","24864","2368498","1906","249498","8.9","9.4"
"Georgia","2020-09-02","13139","2381637","1114","250612","8.8","9.3"
"Georgia","2020-09-03","29028","2410665","2245","252857","8.7","9.2"
"Georgia","2020-09-04","21460","2432125","1823","254680","8.7","9.1"
"Georgia","2020-09-05","28604","2460729","2748","257428","8.8","9.1"
"Georgia","2020-09-06","18839","2479568","1611","259039","8.8","9.1"
"Georgia","2020-09-07","9273","2488841","602","259641","8.1","8.5"
"Georgia","2020-09-08","22985","2511826","1926","261567","8.2","8.6"
"Georgia","2020-09-09","15953","2527779","1080","262647","8","8.4"
"Georgia","2020-09-10","14815","2542594","1057","263704","7.9","8.3"
"Georgia","2020-09-11","15725","2558319","1318","265022","7.9","8.3"
"Georgia","2020-09-12","25938","2584257","1969","266991","7.6","8.2"
"Georgia","2020-09-13","17945","2602202","1356","268347","7.5","8.1"
"Georgia","2020-09-14","13045","2615247","1068","269415","7.7","7.9"
"Georgia","2020-09-15","13843","2629090","1049","270464","7.6","7.9"
"Georgia","2020-09-16","25031","2654121","2713","273177","8.2","8.1"
"Georgia","2020-09-17","25770","2679891","2374","275551","8.5","8.2"
"Georgia","2020-09-18","22061","2701952","1227","276778","8.1","8"
"Georgia","2020-09-19","33437","2735389","4595","281373","9","8.3"
"Georgia","2020-09-20","15433","2750822","1425","282798","9.2","8.3"
"Georgia","2020-09-21","20041","2770863","3153","285951","10.3","9"
"Georgia","2020-09-22","12564","2783427","925","286876","10.2","8.9"
"Georgia","2020-09-23","19788","2803215","963","287839","9.4","8.8"
"Georgia","2020-09-24","21601","2824816","1831","289670","9.3","8.9"
"Georgia","2020-09-25","22678","2847494","1325","290995","9.3","8.7"
"Georgia","2020-09-26","24861","2872355","1323","292318","8.1","8.5"
"Georgia","2020-09-27","13914","2886269","885","293203","7.7","8.5"
"Georgia","2020-09-28","12229","2898498","718","293921","6.3","8.3"
"Georgia","2020-09-29","12335","2910833","731","294652","6.1","8.2"
"Georgia","2020-09-30","22846","2933679","3410","298062","7.5","8.5"
"Georgia","2020-10-01","20713","2954392","1289","299351","7.2","8.2"
"Georgia","2020-10-02","15621","2970013","907","300258","7.2","8.3"
"Georgia","2020-10-03","31368","3001381","1598","301856","7.2","7.6"
"Georgia","2020-10-04","17237","3018618","888","302744","7","7.4"
"Georgia","2020-10-05","14139","3032757","858","303602","7","6.7"
"Georgia","2020-10-06","12035","3044792","799","304401","7.1","6.6"
"Georgia","2020-10-07","13395","3058187","773","305174","5.8","6.7"
"Georgia","2020-10-08","24934","3083121","1247","306421","5.6","6.4"
"Georgia","2020-10-09","29498","3112619","1447","307868","5.5","6.4"
"Georgia","2020-10-10","19930","3132549","1051","308919","5.5","6.4"
"Georgia","2020-10-11","18480","3151029","1074","309993","5.6","6.3"
"Georgia","2020-10-12","17087","3168116","1121","311114","5.7","6.4"
"Georgia","2020-10-13","12422","3180538","926","312040","5.8","6.5"
"Georgia","2020-10-14","23760","3204298","892","312932","5.5","5.7"
"Georgia","2020-10-15","25483","3229781","1222","314154","5.5","5.6"
"Georgia","2020-10-16","24440","3254221","1505","315659","5.7","5.6"
"Georgia","2020-10-17","26398","3280619","1515","317174","5.8","5.6"
"Georgia","2020-10-18","17790","3298409","1186","318360","5.9","5.8"
"Georgia","2020-10-19","15821","3314230","1065","319425","5.9","5.8"
"Georgia","2020-10-20","13557","3327787","983","320408","5.9","5.8"
"Georgia","2020-10-21","10438","3338225","860","321268","6.5","6"
"Georgia","2020-10-22","29219","3367444","2277","323545","6.9","6.2"
"Georgia","2020-10-23","40130","3407574","2091","325636","6.8","6.2"
"Georgia","2020-10-24","18487","3426061","1248","326884","6.9","6.4"
"Georgia","2020-10-25","18922","3444983","1431","328315","7.1","6.5"
"Georgia","2020-10-26","16356","3461339","1185","329500","7.2","6.5"
"Georgia","2020-10-27","13503","3474842","1135","330635","7.3","6.6"
"Georgia","2020-10-28","20420","3495262","1122","331757","6.9","6.7"
"Georgia","2020-10-29","20755","3516017","1545","333302","6.9","6.9"
"Georgia","2020-10-30","19663","3535680","1427","334729","7.2","7"
"Georgia","2020-10-31","26844","3562524","2335","337064","7.4","7.2"
"Georgia","2020-11-01","21429","3583953","1433","338497","7.3","7.2"
"Georgia","2020-11-02","12587","3596540","1054","339551","7.5","7.3"
"Georgia","2020-11-03","22130","3618670","1503","341054","7.2","7.3"
"Georgia","2020-11-04","28438","3647108","1633","342687","7.3","7.1"
"Georgia","2020-11-05","25052","3672160","1887","344574","7.3","7.1"
"Georgia","2020-11-06","19573","3691733","1522","346096","7.4","7.3"
"Georgia","2020-11-07","23537","3715270","1478","347574","7","7.2"
"Georgia","2020-11-08","18690","3733960","1262","348836","7","7.2"
"Georgia","2020-11-09","15934","3749894","1231","350067","6.9","7.2"
"Georgia","2020-11-10","22630","3772524","1814","351881","7.1","7.2"
"Georgia","2020-11-11","13522","3786046","1172","353053","7.5","7.4"
"Georgia","2020-11-12","21367","3807413","2101","355154","7.9","7.6"
"Georgia","2020-11-13","31137","3838550","2313","357467","7.8","7.6"
"Georgia","2020-11-14","27389","3865939","2113","359580","8","7.5"
"Georgia","2020-11-15","21347","3887286","2030","361610","8.4","7.7"
"Georgia","2020-11-16","13422","3900708","955","362565","8.3","7.6"
"Georgia","2020-11-17","53714","3954422","3924","366489","8.2","7.7"
"Georgia","2020-11-18","20561","3974983","2047","368536","8.4","8"
"Georgia","2020-11-19","35693","4010676","2565","371101","8","7.9"
"Georgia","2020-11-20","32450","4043126","2522","373623","8.1","7.9"
"Georgia","2020-11-21","43016","4086142","2971","376594","8","8"
"Georgia","2020-11-22","26638","4112780","2026","378620","7.7","8.1"
"Georgia","2020-11-23","26729","4139509","2016","380636","7.8","8"
"Georgia","2020-11-24","34434","4173943","2426","383062","7.7","8"
"Georgia","2020-11-25","21986","4195929","1854","384916","7.5","8"
"Georgia","2020-11-26","30762","4226691","2467","387383","7.6","7.8"
"Georgia","2020-11-27","31722","4258413","2645","390028","7.7","7.9"
"Georgia","2020-11-28","30611","4289024","2847","392875","8","8"
"Georgia","2020-11-29","13903","4302927","1603","394478","8.6","8.1"
"Georgia","2020-11-30","11521","4314448","1370","395848","9.2","8.5"
"Georgia","2020-12-01","24519","4338967","2793","398641","9.8","8.8"
"Georgia","2020-12-02","23997","4362964","3451","402092","10.7","9.1"
"Georgia","2020-12-03","33701","4396665","4133","406225","11.3","9.5"
"Georgia","2020-12-04","38355","4435020","4623","410848","11.8","9.8"
"Georgia","2020-12-05","31180","4466200","3130","413978","11.9","10"
"Georgia","2020-12-06","9852","4476052","1099","415077","11.9","10.2"
"Georgia","2020-12-07","45008","4521060","5871","420948","12","10.6"
"Georgia","2020-12-08","34383","4555443","4058","425006","12.1","11"
"Georgia","2020-12-09","22681","4578124","2964","427970","11.9","11.3"
"Georgia","2020-12-10","43717","4621841","6109","434079","12.2","11.7"
"Georgia","2020-12-11","35358","4657199","4222","438301","12.1","12"
"Georgia","2020-12-12","39508","4696707","4656","442957","12.4","12.2"
"Georgia","2020-12-13","32827","4729534","4508","447465","12.8","12.3"
"Georgia","2020-12-14","25996","4755530","3681","451146","12.9","12.5"
"Georgia","2020-12-15","38945","4794475","5221","456367","13.2","12.6"
"Georgia","2020-12-16","23433","4817908","3381","459748","13.3","12.6"
"Georgia","2020-12-17","38262","4856170","5301","465049","13.3","12.7"
"Georgia","2020-12-18","47876","4904046","6361","471410","13.5","12.8"
"Georgia","2020-12-19","37003","4941049","4769","476179","13.7","13"
"Georgia","2020-12-20","33115","4974164","4525","480704","13.7","13.2"
"Georgia","2020-12-21","25142","4999306","3668","484372","13.7","13.3"
"Georgia","2020-12-22","50049","5049355","6854","491226","13.8","13.5"
"Georgia","2020-12-23","36781","5086136","5604","496830","13.9","13.6"
"Georgia","2020-12-24","49170","5135306","7029","503859","14","13.6"
"Georgia","2020-12-25","53529","5188835","6680","510539","13.8","13.7"
"Georgia","2020-12-26","29639","5218474","4414","514953","14.1","13.9"
"Georgia","2020-12-27","15054","5233528","2719","517672","14.7","14.2"
"Georgia","2020-12-28","15065","5248593","3115","520787","15.6","14.7"
"Georgia","2020-12-29","32689","5281282","6108","526895","16.3","15.1"
"Georgia","2020-12-30","23511","5304793","4671","531566","17","15.4"
"Georgia","2020-12-31","44597","5349390","9123","540689","17.9","15.9"
"Georgia","2021-01-01","51664","5401054","9153","549842","18.6","16.2"
"Georgia","2021-01-02","35934","5436988","6788","556630","19.2","16.7"
"Georgia","2021-01-03","25253","5462241","5262","561892","19.6","17.2"
"Georgia","2021-01-04","20549","5482790","4183","566075","19.5","17.6"
"Georgia","2021-01-05","27090","5509880","5486","571561","19.8","18.1"
"Georgia","2021-01-06","13341","5523221","2746","574307","19.9","18.4"
"Georgia","2021-01-07","46392","5569613","7621","581928","19.3","18.6"
"Georgia","2021-01-08","14381","5583994","3134","585062","19.9","19.2"
"Georgia","2021-01-09","48477","5632471","8819","593881","19.8","19.5"
"Georgia","2021-01-10","39819","5672290","7471","601352","19.5","19.5"
"Georgia","2021-01-11","35770","5708060","6560","607912","19.2","19.4"
"Georgia","2021-01-12","29802","5737862","5792","613704","19.1","19.4"
"Georgia","2021-01-13","26112","5763974","4620","618324","18.7","19.3"
"Georgia","2021-01-14","37033","5801007","6081","624405","18.7","19"
"Georgia","2021-01-15","43014","5844021","7222","631627","17.9","18.9"
"Georgia","2021-01-16","43679","5887700","6868","638495","17.6","18.7"
"Georgia","2021-01-17","37741","5925441","6108","644603","17.2","18.4"
"Georgia","2021-01-18","31865","5957306","5088","649691","16.9","18"
"Georgia","2021-01-19","31431","5988737","5499","655190","16.6","17.8"
"Georgia","2021-01-20","44460","6033197","5948","661138","16","17.3"
"Georgia","2021-01-21","39417","6072614","5950","667088","15.8","17.2"
"Georgia","2021-01-22","49452","6122066","6895","673983","15.4","16.7"
"Georgia","2021-01-23","52404","6174470","7441","681424","15.2","16.4"
"Georgia","2021-01-24","34390","6208860","4909","686333","14.9","16.1"
"Georgia","2021-01-25","26036","6234896","3955","690288","14.8","15.8"
"Georgia","2021-01-26","36649","6271545","5895","696183","14.6","15.6"
"Georgia","2021-01-27","24499","6296044","3828","700011","14.9","15.5"
"Georgia","2021-01-28","42184","6338228","5759","705770","14.7","15.3"
"Georgia","2021-01-29","40314","6378542","5226","710996","14.6","15"
"Georgia","2021-01-30","46500","6425042","5480","716476","14.2","14.7"
"Georgia","2021-01-31","27704","6452746","3459","719935","14","14.4"
"Georgia","2021-02-01","21387","6474133","3087","723022","13.9","14.3"
"Georgia","2021-02-02","19915","6494048","2735","725757","13.5","14.1"
"Georgia","2021-02-03","30175","6524223","3563","729320","13","13.9"
"Georgia","2021-02-04","37412","6561635","4218","733538","12.6","13.7"
"Georgia","2021-02-05","35415","6597050","3829","737367","12.3","13.5"
"Georgia","2021-02-06","31527","6628577","3287","740654","12.1","13.2"
"Georgia","2021-02-07","35699","6664276","4044","744698","12","13"
"Georgia","2021-02-08","23176","6687452","3081","747779","11.8","12.8"
"Georgia","2021-02-09","24135","6711587","2407","750186","11.3","12.4"
"Georgia","2021-02-10","22794","6734381","2266","752452","11","12"
"Georgia","2021-02-11","31509","6765890","3265","755717","10.9","11.8"
"Georgia","2021-02-12","27070","6792960","2381","758098","10.6","11.5"
"Georgia","2021-02-13","35988","6828948","3148","761246","10.3","11.2"
"Georgia","2021-02-14","24113","6853061","2337","763583","10.1","11"
"Georgia","2021-02-15","17616","6870677","1962","765545","9.8","10.8"
"Appling","2020-02-01","0","0","0","0",".","."
"Appling","2020-02-02","0","0","0","0",".","."
"Appling","2020-02-03","0","0","0","0",".","."
"Appling","2020-02-04","0","0","0","0",".","."
"Appling","2020-02-05","0","0","0","0",".","."
"Appling","2020-02-06","0","0","0","0",".","."
"Appling","2020-02-07","0","0","0","0","0","."
"Appling","2020-02-08","0","0","0","0","0","."
"Appling","2020-02-09","0","0","0","0","0","."
"Appling","2020-02-10","0","0","0","0","0","."
"Appling","2020-02-11","0","0","0","0","0","."
"Appling","2020-02-12","0","0","0","0","0","."
"Appling","2020-02-13","0","0","0","0","0","."
"Appling","2020-02-14","0","0","0","0","0","0"
"Appling","2020-02-15","0","0","0","0","0","0"
"Appling","2020-02-16","0","0","0","0","0","0"
"Appling","2020-02-17","0","0","0","0","0","0"
"Appling","2020-02-18","0","0","0","0","0","0"
"Appling","2020-02-19","0","0","0","0","0","0"
"Appling","2020-02-20","0","0","0","0","0","0"
"Appling","2020-02-21","0","0","0","0","0","0"
"Appling","2020-02-22","0","0","0","0","0","0"
"Appling","2020-02-23","0","0","0","0","0","0"
"Appling","2020-02-24","0","0","0","0","0","0"
"Appling","2020-02-25","0","0","0","0","0","0"
"Appling","2020-02-26","0","0","0","0","0","0"
"Appling","2020-02-27","0","0","0","0","0","0"
"Appling","2020-02-28","0","0","0","0","0","0"
"Appling","2020-02-29","0","0","0","0","0","0"
"Appling","2020-03-01","0","0","0","0","0","0"
"Appling","2020-03-02","0","0","0","0","0","0"
"Appling","2020-03-03","0","0","0","0","0","0"
"Appling","2020-03-04","0","0","0","0","0","0"
"Appling","2020-03-05","0","0","0","0","0","0"
"Appling","2020-03-06","0","0","0","0","0","0"
"Appling","2020-03-07","0","0","0","0","0","0"
"Appling","2020-03-08","0","0","0","0","0","0"
"Appling","2020-03-09","0","0","0","0","0","0"
"Appling","2020-03-10","0","0","0","0","0","0"
"Appling","2020-03-11","0","0","0","0","0","0"
"Appling","2020-03-12","0","0","0","0","0","0"
"Appling","2020-03-13","0","0","0","0","0","0"
"Appling","2020-03-14","0","0","0","0","0","0"
"Appling","2020-03-15","0","0","0","0","0","0"
"Appling","2020-03-16","0","0","0","0","0","0"
"Appling","2020-03-17","1","1","0","0","0","0"
"Appling","2020-03-18","0","1","0","0","0","0"
"Appling","2020-03-19","0","1","0","0","0","0"
"Appling","2020-03-20","0","1","0","0","0","0"
"Appling","2020-03-21","1","2","0","0","0","0"
"Appling","2020-03-22","0","2","0","0","0","0"
"Appling","2020-03-23","0","2","0","0","0","0"
"Appling","2020-03-24","2","4","0","0","0","0"
"Appling","2020-03-25","3","7","0","0","0","0"
