"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","140096","5179"
"Any Chronic Condition","Male","110707","5954"
"Any Chronic Condition","Total","251157","11134"
"Any Chronic Condition","Unknown","354","1"
"Any Disability","Female","10281","1419"
"Any Disability","Male","7957","1280"
"Any Disability","Total","18262","2699"
"Any Disability","Unknown","24","0"
"Cardiovascular Disease","Female","27923","2750"
"Cardiovascular Disease","Male","25496","3351"
"Cardiovascular Disease","Total","53470","6101"
"Cardiovascular Disease","Unknown","51","0"
"Chronic Liver Disease","Female","1569","141"
"Chronic Liver Disease","Male","1372","217"
"Chronic Liver Disease","Total","2944","358"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","37256","1445"
"Chronic Lung Disease","Male","23910","1499"
"Chronic Lung Disease","Total","61238","2944"
"Chronic Lung Disease","Unknown","72","0"
"Chronic Renal Disease","Female","6195","1164"
"Chronic Renal Disease","Male","6019","1474"
"Chronic Renal Disease","Total","12224","2638"
"Chronic Renal Disease","Unknown","10","0"
"Currently Pregnant","Female","6704","10"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","6707","10"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","32755","2138"
"Diabetes Mellitus","Male","28080","2627"
"Diabetes Mellitus","Total","60910","4766"
"Diabetes Mellitus","Unknown","75","1"
"Hypertension/High blood pressure","Female","25548","1129"
"Hypertension/High blood pressure","Male","20090","1233"
"Hypertension/High blood pressure","Total","45733","2362"
"Hypertension/High blood pressure","Unknown","95","0"
"ICU","Female","5478","2180"
"ICU","Male","6971","2905"
"ICU","Total","12468","5086"
"ICU","Unknown","19","1"
"Immunocompromised Condition","Female","9941","580"
"Immunocompromised Condition","Male","5806","668"
"Immunocompromised Condition","Total","15762","1248"
"Immunocompromised Condition","Unknown","15","0"
"Missing/Unknown status on all conditions","Female","295801","1013"
"Missing/Unknown status on all conditions","Male","271897","1170"
"Missing/Unknown status on all conditions","Total","576005","2184"
"Missing/Unknown status on all conditions","Unknown","8307","1"
"None of the above conditions","Female","317645","8080"
"None of the above conditions","Male","254942","9167"
"None of the above conditions","Total","573772","17247"
"None of the above conditions","Unknown","1185","0"
"Obesity (BMI>40)","Female","9052","260"
"Obesity (BMI>40)","Male","4933","231"
"Obesity (BMI>40)","Total","14005","491"
"Obesity (BMI>40)","Unknown","20","0"
"Other Chronic Diseases","Female","36534","2234"
"Other Chronic Diseases","Male","23943","2292"
"Other Chronic Diseases","Total","60554","4526"
"Other Chronic Diseases","Unknown","77","0"
"Smoker","Female","32791","795"
"Smoker","Male","39375","1502"
"Smoker","Total","72244","2297"
"Smoker","Unknown","78","0"
"Total with completed information","Female","330600","8801"
"Total with completed information","Male","265741","9985"
"Total with completed information","Total","597579","18787"
"Total with completed information","Unknown","1238","1"
