"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","45051","2181"
"Any Chronic Condition","Male","36821","2417"
"Any Chronic Condition","Total","82289","4600"
"Any Chronic Condition","Unknown","417","2"
"Cardiovascular Disease","Female","14337","1415"
"Cardiovascular Disease","Male","12220","1596"
"Cardiovascular Disease","Total","26650","3011"
"Cardiovascular Disease","Unknown","93","0"
"Chronic Liver Disease","Female","562","59"
"Chronic Liver Disease","Male","511","86"
"Chronic Liver Disease","Total","1076","145"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","12923","656"
"Chronic Lung Disease","Male","8103","635"
"Chronic Lung Disease","Total","21167","1291"
"Chronic Lung Disease","Unknown","141","0"
"Chronic Renal Disease","Female","2712","547"
"Chronic Renal Disease","Male","2509","650"
"Chronic Renal Disease","Total","5242","1197"
"Chronic Renal Disease","Unknown","21","0"
"Currently Pregnant","Female","2360","4"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2371","4"
"Currently Pregnant","Unknown","11","0"
"Diabetes Mellitus","Female","13363","929"
"Diabetes Mellitus","Male","11179","1127"
"Diabetes Mellitus","Total","24647","2058"
"Diabetes Mellitus","Unknown","105","2"
"ICU","Female","2531","934"
"ICU","Male","3217","1267"
"ICU","Total","5774","2203"
"ICU","Unknown","26","2"
"Immunocompromised Condition","Female","4280","265"
"Immunocompromised Condition","Male","2668","322"
"Immunocompromised Condition","Total","6978","587"
"Immunocompromised Condition","Unknown","30","0"
"Missing/Unknown status on all conditions","Female","71235","599"
"Missing/Unknown status on all conditions","Male","67095","696"
"Missing/Unknown status on all conditions","Total","144051","1298"
"Missing/Unknown status on all conditions","Unknown","5721","3"
"Neurologic/Neurodevelopmental","Female","3370","640"
"Neurologic/Neurodevelopmental","Male","2322","566"
"Neurologic/Neurodevelopmental","Total","5721","1206"
"Neurologic/Neurodevelopmental","Unknown","29","0"
"None of the above conditions","Female","105547","2701"
"None of the above conditions","Male","84948","2850"
"None of the above conditions","Total","191831","5551"
"None of the above conditions","Unknown","1336","0"
"Other Chronic Diseases","Female","7157","688"
"Other Chronic Diseases","Male","4610","690"
"Other Chronic Diseases","Total","11816","1378"
"Other Chronic Diseases","Unknown","49","0"
"Smoker","Female","11444","287"
"Smoker","Male","14685","571"
"Smoker","Total","26249","858"
"Smoker","Unknown","120","0"
"Total with completed information","Female","110629","3108"
"Total with completed information","Male","89458","3321"
"Total with completed information","Total","201484","6431"
"Total with completed information","Unknown","1397","2"
