"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","92405","3439"
"Any Chronic Condition","Male","73530","3961"
"Any Chronic Condition","Total","166553","7405"
"Any Chronic Condition","Unknown","618","5"
"Cardiovascular Disease","Female","23088","2052"
"Cardiovascular Disease","Male","20681","2425"
"Cardiovascular Disease","Total","43893","4479"
"Cardiovascular Disease","Unknown","124","2"
"Chronic Liver Disease","Female","1068","98"
"Chronic Liver Disease","Male","936","137"
"Chronic Liver Disease","Total","2012","235"
"Chronic Liver Disease","Unknown","8","0"
"Chronic Lung Disease","Female","25261","988"
"Chronic Lung Disease","Male","15985","1000"
"Chronic Lung Disease","Total","41400","1990"
"Chronic Lung Disease","Unknown","154","2"
"Chronic Renal Disease","Female","4508","803"
"Chronic Renal Disease","Male","4373","995"
"Chronic Renal Disease","Total","8911","1799"
"Chronic Renal Disease","Unknown","30","1"
"Currently Pregnant","Female","4081","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4090","6"
"Currently Pregnant","Unknown","9","0"
"Diabetes Mellitus","Female","23963","1429"
"Diabetes Mellitus","Male","20535","1783"
"Diabetes Mellitus","Total","44639","3215"
"Diabetes Mellitus","Unknown","141","3"
"ICU","Female","3739","1463"
"ICU","Male","4843","1972"
"ICU","Total","8601","3437"
"ICU","Unknown","19","2"
"Immunocompromised Condition","Female","8634","417"
"Immunocompromised Condition","Male","5128","503"
"Immunocompromised Condition","Total","13795","920"
"Immunocompromised Condition","Unknown","33","0"
"Missing/Unknown status on all conditions","Female","192307","794"
"Missing/Unknown status on all conditions","Male","174455","969"
"Missing/Unknown status on all conditions","Total","376161","1771"
"Missing/Unknown status on all conditions","Unknown","9399","8"
"Neurologic/Neurodevelopmental","Female","6564","956"
"Neurologic/Neurodevelopmental","Male","4790","874"
"Neurologic/Neurodevelopmental","Total","11402","1831"
"Neurologic/Neurodevelopmental","Unknown","48","1"
"None of the above conditions","Female","210139","4826"
"None of the above conditions","Male","168808","5389"
"None of the above conditions","Total","380773","10235"
"None of the above conditions","Unknown","1826","20"
"Other Chronic Diseases","Female","30295","1748"
"Other Chronic Diseases","Male","20140","1796"
"Other Chronic Diseases","Total","50640","3545"
"Other Chronic Diseases","Unknown","205","1"
"Smoker","Female","21556","487"
"Smoker","Male","26728","955"
"Smoker","Total","48425","1442"
"Smoker","Unknown","141","0"
"Total with completed information","Female","219934","5446"
"Total with completed information","Male","177452","6122"
"Total with completed information","Total","399305","11590"
"Total with completed information","Unknown","1919","22"
