"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","88385","3260"
"Any Chronic Condition","Male","70312","3741"
"Any Chronic Condition","Total","159286","7005"
"Any Chronic Condition","Unknown","589","4"
"Cardiovascular Disease","Female","22510","1973"
"Cardiovascular Disease","Male","20091","2297"
"Cardiovascular Disease","Total","42719","4270"
"Cardiovascular Disease","Unknown","118","0"
"Chronic Liver Disease","Female","1013","91"
"Chronic Liver Disease","Male","887","132"
"Chronic Liver Disease","Total","1906","223"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","24047","938"
"Chronic Lung Disease","Male","15179","942"
"Chronic Lung Disease","Total","39365","1881"
"Chronic Lung Disease","Unknown","139","1"
"Chronic Renal Disease","Female","4339","766"
"Chronic Renal Disease","Male","4170","925"
"Chronic Renal Disease","Total","8536","1691"
"Chronic Renal Disease","Unknown","27","0"
"Currently Pregnant","Female","3894","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3904","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","22923","1353"
"Diabetes Mellitus","Male","19616","1675"
"Diabetes Mellitus","Total","42674","3030"
"Diabetes Mellitus","Unknown","135","2"
"ICU","Female","3630","1399"
"ICU","Male","4683","1868"
"ICU","Total","8331","3269"
"ICU","Unknown","18","2"
"Immunocompromised Condition","Female","8234","395"
"Immunocompromised Condition","Male","4901","479"
"Immunocompromised Condition","Total","13164","874"
"Immunocompromised Condition","Unknown","29","0"
"Missing/Unknown status on all conditions","Female","182511","765"
"Missing/Unknown status on all conditions","Male","165358","934"
"Missing/Unknown status on all conditions","Total","357427","1706"
"Missing/Unknown status on all conditions","Unknown","9558","7"
"Neurologic/Neurodevelopmental","Female","6159","909"
"Neurologic/Neurodevelopmental","Male","4441","825"
"Neurologic/Neurodevelopmental","Total","10645","1735"
"Neurologic/Neurodevelopmental","Unknown","45","1"
"None of the above conditions","Female","199791","4398"
"None of the above conditions","Male","160290","4854"
"None of the above conditions","Total","361826","9263"
"None of the above conditions","Unknown","1745","11"
"Other Chronic Diseases","Female","29418","1700"
"Other Chronic Diseases","Male","19623","1743"
"Other Chronic Diseases","Total","49241","3444"
"Other Chronic Diseases","Unknown","200","1"
"Smoker","Female","20472","458"
"Smoker","Male","25414","888"
"Smoker","Total","46018","1346"
"Smoker","Unknown","132","0"
"Total with completed information","Female","209274","4996"
"Total with completed information","Male","168669","5565"
"Total with completed information","Total","379778","10574"
"Total with completed information","Unknown","1835","13"
