,date,time_reported,cases_cumulative,fatalities_cumulative,tests,source_cases
1,3/2/20,NA,2,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
2,3/3/20,NA,2,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
3,3/4/20,NA,2,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
4,3/5/20,NA,2,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
5,3/6/20,NA,3,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
6,3/7/20,NA,7,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
7,3/8/20,NA,11,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
8,3/9/20,NA,17,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
9,3/10/20,NA,22,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
10,3/11/20,NA,31,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
11,3/12/20,NA,42,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
12,3/13/20,NA,42,NA,NA,https://en.wikipedia.org/wiki/Template:2019%E2%80%9320_coronavirus_pandemic_data/United_States_medical_cases
13,3/14/20,12:00 PM,64,1,NA,https://web.archive.org/web/20200314224758/https://dph.georgia.gov/covid-19-daily-status-report
14,3/15/20,12:00 PM,99,1,NA,https://web.archive.org/web/20200316003553/https:/dph.georgia.gov/covid-19-daily-status-report
15,3/16/20,12:00 PM,121,1,NA,https://web.archive.org/web/20200316162454/https://dph.georgia.gov/covid-19-daily-status-report
16,3/17/20,12:00 PM,146,1,NA,https://web.archive.org/web/20200317165049/https://dph.georgia.gov/covid-19-daily-status-report
17,3/18/20,12:00 PM,197,1,1508,https://web.archive.org/web/20200318173647/https://dph.georgia.gov/covid-19-daily-status-report
18,3/19/20,12:00 PM,287,10,1831,https://web.archive.org/web/20200319174155/https://dph.georgia.gov/covid-19-daily-status-report
19,3/20/20,7:00 PM,485,14,2386,https://web.archive.org/web/20200321073215/https://dph.georgia.gov/covid-19-daily-status-report
20,3/21/20,12:00 PM,507,14,3064,https://web.archive.org/web/20200321165454/https://dph.georgia.gov/covid-19-daily-status-report
21,3/22/20,12:00 PM,600,23,4020,https://dph.georgia.gov/covid-19-daily-status-report
