"","NAME","source_type","ADM_scale","Website","announcement_board","announcement_type","announcement_date","start_date","end_date","announcement_link","access_date","who_by","gathering_size"
"1","Alabama","government","ADM1","https://governor.alabama.gov/newsroom/2020/03/state-of-emergency-coronavirus-covid-19/","https://governor.alabama.gov/newsroom/category/press-releases/","state of emergency",2020-03-13,NA,NA,"https://governor.alabama.gov/newsroom/2020/03/state-of-emergency-coronavirus-covid-19/",2020-03-18,"ARW",NA
"2","Alabama","government","ADM1",NA,NA,"non-contact school",NA,NA,NA,NA,NA,NA,NA
"3","Alabama","government","ADM1",NA,NA,"prohibit restaurants",NA,NA,NA,NA,NA,NA,NA
"4","Alabama","government","ADM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alaska","government","ADM1","http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx",NA,"non-contact school",2020-03-13,2020-03-16,2020-03-30,"http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf",2020-03-18,"ARW",NA
"6","Alaska","government","ADM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alaska","government","ADM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alaska","government","ADM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Arizona","government","ADM1","https://azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Arkansas","government","ADM1","https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus","https://portal.arkansas.gov/news/",NA,NA,NA,NA,NA,NA,NA,NA
"11","California","government","ADM1","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx",NA,"prohibit_restaurants",2020-03-16,NA,NA,"https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Coronavirus%20Disease%202019%20and%20Food%20Beverage%20Other%20Services%20-%20AOL.pdf",2020-03-18,"ARW",NA
"12","Colorado","government","ADM1","https://www.colorado.gov/cdphe/2019-novel-coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Connecticut","government","ADM1","https://portal.ct.gov/Coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Delaware","government","ADM1","https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Florida","government","ADM1","http://www.floridahealth.gov/diseases-and-conditions/COVID-19/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Georgia","government","ADM1","https://dph.georgia.gov/novelcoronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Hawaii","government","ADM1","https://health.hawaii.gov/docd/advisories/novel-coronavirus-2019/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Idaho","government","ADM1","https://coronavirus.idaho.gov/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Illinois","government","ADM1","http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Indiana","government","ADM1","https://www.in.gov/coronavirus/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Iowa","government","ADM1","https://idph.iowa.gov/emerging-health-issues/novel-coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Kansas","government","ADM1","http://www.kdheks.gov/coronavirus/index.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Kentucky","government","ADM1","https://chfs.ky.gov/agencies/dph/pages/covid19.aspx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Louisiana","government","ADM1","http://ldh.la.gov/Coronavirus/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Maine","government","ADM1","https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Maryland","government","ADM1","https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Massachusetts","government","ADM1","https://www.mass.gov/resource/information-on-the-outbreak-of-coronavirus-disease-2019-covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Michigan","government","ADM1","https://www.michigan.gov/Coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Minnesota","government","ADM1","https://www.health.state.mn.us/diseases/coronavirus/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Mississippi","government","ADM1","https://msdh.ms.gov/msdhsite/_static/14,0,420.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Missouri","government","ADM1","https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Montana","government","ADM1","https://montana.maps.arcgis.com/apps/MapSeries/index.html?appid=7c34f3412536439491adcc2103421d4b",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Nebraska","government","ADM1","https://governor.nebraska.gov/press/gov-ricketts-issues-guidance-school-closures-leaders-provide-covid-19-response-update",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Nevada","government","ADM1","http://dpbh.nv.gov/coronavirus/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Hampshire","government","ADM1","https://www.nh.gov/covid19/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","New Jersey","government","ADM1","https://www.nj.gov/health/cd/topics/covid2019_dashboard.shtml",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","New Mexico","government","ADM1","http://www.newmexico.gov/ (their webpage is dedicated to COVID coverage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","New York","government","ADM1","https://health.ny.gov/diseases/communicable/coronavirus/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","North Carolina","government","ADM1","https://www.ncdhhs.gov/divisions/public-health/coronavirus-disease-2019-covid-19-response-north-carolina",NA,"school_closure",2020-03-14,NA,NA,"https://files.nc.gov/governor/documents/files/EO117-COVID-19-Prohibiting-Mass-Gathering-and-K12-School-Closure.pdf",2020-03-18,"ARW",NA
"40","North Carolina","government","ADM1",NA,NA,"prohibit_gatherings",2020-03-14,2020-03-16,2020-03-30,"https://files.nc.gov/governor/documents/files/EO117-COVID-19-Prohibiting-Mass-Gathering-and-K12-School-Closure.pdf",2020-03-18,"ARW",100
"41","North Carolina","government","ADM1",NA,NA,"prohibit_restaurants",2020-03-17,2020-03-17,2020-03-31,"https://files.nc.gov/governor/documents/files/EO118.pdf",2020-03-18,"ARW",NA
"42","North Dakota","government","ADM1","https://www.health.nd.gov/diseases-conditions/coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Ohio","government","ADM1","https://ohio.gov/wps/portal/gov/site/media-center/news-and-events/2019-nCoV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Oklahoma","government","ADM1","https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/Coronavirus_Disease_2019/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Oregon","government","ADM1","https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx?utm_source=Portal&utm_medium=Link&utm_campaign=Coronavirus%20Message",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Pennsylvania","government","ADM1","https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Rhode Island","government","ADM1","https://health.ri.gov/diseases/ncov2019/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","South Carolina","government","ADM1","https://www.dhec.sc.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA
