"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","123814","4766"
"Any Chronic Condition","Male","98549","5477"
"Any Chronic Condition","Total","222824","10246"
"Any Chronic Condition","Unknown","461","3"
"Any Disability","Female","9153","1320"
"Any Disability","Male","7004","1183"
"Any Disability","Total","16186","2505"
"Any Disability","Unknown","29","2"
"Cardiovascular Disease","Female","26104","2622"
"Cardiovascular Disease","Male","23784","3142"
"Cardiovascular Disease","Total","49959","5765"
"Cardiovascular Disease","Unknown","71","1"
"Chronic Liver Disease","Female","1405","133"
"Chronic Liver Disease","Male","1217","195"
"Chronic Liver Disease","Total","2628","328"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","32476","1339"
"Chronic Lung Disease","Male","20662","1385"
"Chronic Lung Disease","Total","53238","2724"
"Chronic Lung Disease","Unknown","100","0"
"Chronic Renal Disease","Female","5557","1096"
"Chronic Renal Disease","Male","5480","1364"
"Chronic Renal Disease","Total","11055","2460"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","5335","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5341","6"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","29716","1966"
"Diabetes Mellitus","Male","25685","2442"
"Diabetes Mellitus","Total","55492","4409"
"Diabetes Mellitus","Unknown","91","1"
"Hypertension/High blood pressure","Female","19857","907"
"Hypertension/High blood pressure","Male","15686","981"
"Hypertension/High blood pressure","Total","35633","1888"
"Hypertension/High blood pressure","Unknown","90","0"
"ICU","Female","4829","1971"
"ICU","Male","6175","2652"
"ICU","Total","11017","4624"
"ICU","Unknown","13","1"
"Immunocompromised Condition","Female","10972","618"
"Immunocompromised Condition","Male","6386","711"
"Immunocompromised Condition","Total","17386","1329"
"Immunocompromised Condition","Unknown","28","0"
"Missing/Unknown status on all conditions","Female","198250","842"
"Missing/Unknown status on all conditions","Male","182859","1008"
"Missing/Unknown status on all conditions","Total","388254","1852"
"Missing/Unknown status on all conditions","Unknown","7145","2"
"None of the above conditions","Female","272898","7132"
"None of the above conditions","Male","222015","8050"
"None of the above conditions","Total","496336","15185"
"None of the above conditions","Unknown","1423","3"
"Obesity (BMI>40)","Female","6944","199"
"Obesity (BMI>40)","Male","3781","180"
"Obesity (BMI>40)","Total","10739","379"
"Obesity (BMI>40)","Unknown","14","0"
"Other Chronic Diseases","Female","34839","2144"
"Other Chronic Diseases","Male","22967","2198"
"Other Chronic Diseases","Total","57927","4342"
"Other Chronic Diseases","Unknown","121","0"
"Smoker","Female","28284","731"
"Smoker","Male","34901","1387"
"Smoker","Total","63287","2118"
"Smoker","Unknown","102","0"
"Total with completed information","Female","282920","7822"
"Total with completed information","Male","230781","8818"
"Total with completed information","Total","515169","16644"
"Total with completed information","Unknown","1468","4"
