"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","182680","6586"
"Any Chronic Condition","Male","140431","7670"
"Any Chronic Condition","Total","323517","14259"
"Any Chronic Condition","Unknown","406","3"
"Any Disability","Female","13385","1682"
"Any Disability","Male","10929","1597"
"Any Disability","Total","24348","3279"
"Any Disability","Unknown","34","0"
"Cardiovascular Disease","Female","32415","3284"
"Cardiovascular Disease","Male","29675","4052"
"Cardiovascular Disease","Total","62140","7338"
"Cardiovascular Disease","Unknown","50","2"
"Chronic Liver Disease","Female","2098","188"
"Chronic Liver Disease","Male","1786","288"
"Chronic Liver Disease","Total","3886","476"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","49735","1910"
"Chronic Lung Disease","Male","31688","1939"
"Chronic Lung Disease","Total","81544","3849"
"Chronic Lung Disease","Unknown","121","0"
"Chronic Renal Disease","Female","7573","1454"
"Chronic Renal Disease","Male","7364","1851"
"Chronic Renal Disease","Total","14948","3307"
"Chronic Renal Disease","Unknown","11","2"
"Currently Pregnant","Female","11695","27"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","11703","27"
"Currently Pregnant","Unknown","8","0"
"Diabetes Mellitus","Female","40374","2708"
"Diabetes Mellitus","Male","34109","3329"
"Diabetes Mellitus","Total","74566","6039"
"Diabetes Mellitus","Unknown","83","2"
"Hypertension/High blood pressure","Female","39569","1969"
"Hypertension/High blood pressure","Male","30857","2203"
"Hypertension/High blood pressure","Total","70526","4172"
"Hypertension/High blood pressure","Unknown","100","0"
"ICU","Female","6939","2908"
"ICU","Male","8781","3914"
"ICU","Total","15752","6824"
"ICU","Unknown","32","2"
"Immunocompromised Condition","Female","9082","541"
"Immunocompromised Condition","Male","5260","602"
"Immunocompromised Condition","Total","14352","1143"
"Immunocompromised Condition","Unknown","10","0"
"Missing/Unknown status on all conditions","Female","559587","1344"
"Missing/Unknown status on all conditions","Male","494701","1533"
"Missing/Unknown status on all conditions","Total","1067512","2879"
"Missing/Unknown status on all conditions","Unknown","13224","2"
"None of the above conditions","Female","470694","12206"
"None of the above conditions","Male","365470","14224"
"None of the above conditions","Total","838038","26438"
"None of the above conditions","Unknown","1874","8"
"Obesity (BMI>40)","Female","14474","486"
"Obesity (BMI>40)","Male","7725","459"
"Obesity (BMI>40)","Total","22225","945"
"Obesity (BMI>40)","Unknown","26","0"
"Other Chronic Diseases","Female","40791","2642"
"Other Chronic Diseases","Male","26494","2730"
"Other Chronic Diseases","Total","67350","5372"
"Other Chronic Diseases","Unknown","65","0"
"Smoker","Female","43331","1059"
"Smoker","Male","50062","1997"
"Smoker","Total","93476","3056"
"Smoker","Unknown","83","0"
"Total with completed information","Female","488386","13033"
"Total with completed information","Male","377724","15129"
"Total with completed information","Total","868028","28172"
"Total with completed information","Unknown","1918","10"
